"","ESTAT_MNE","Var","VarID","Value"
"1","Volkswagen Ag","City1","1","Gifhorner Str."
"2","Volkswagen Ag","City2","2","Gifhorner Str."
"3","Volkswagen Ag","Country1","3","Germany"
"4","Volkswagen Ag","Inactive","4","FALSE"
"5","Volkswagen Ag","IncorpDate","5",NA
"6","Volkswagen Ag","LastUpdate","6","2020-07-29T15:44:44+00:00"
"7","Volkswagen Ag","LegalJur","7","de"
"8","Volkswagen Ag","Location1","8",NA
"9","Volkswagen Ag","Location2","9",NA
"10","Volkswagen Ag","Name","10","Volkswagen Autoversicherung AG"
"11","Volkswagen Ag","OpenCorpNum","11","P1103_HRB204252"
"12","Volkswagen Ag","OpenCorpURL","12","https://opencorporates.com/companies/de/P1103_HRB204252"
"13","Volkswagen Ag","Postal1","13",NA
"14","Volkswagen Ag","Predecessor1","14",NA
"15","Volkswagen Ag","RegURL","15",NA
"16","Volkswagen Ag","Status","16","Currently Registered"
"17","Volkswagen Ag","Type1","17",NA
"18","Volkswagen Ag","officer.name","26","Ulrich Bollmann"
"19","Volkswagen Ag","officer.position","27","prokurist"
"20","Volkswagen Ag","officer.end_date","28","2017-03-15"
"21","Volkswagen Ag","officer.name","32","Stefan Zager"
"22","Volkswagen Ag","officer.position","33","prokurist"
"23","Volkswagen Ag","officer.end_date","34","2016-08-16"
"24","Volkswagen Ag","officer.name","38","Jochen Dokter"
"25","Volkswagen Ag","officer.position","39","prokurist"
"26","Volkswagen Ag","officer.start_date","40","2015-01-29"
"27","Volkswagen Ag","officer.name","44","Ina Kegler"
"28","Volkswagen Ag","officer.position","45","prokurist"
"29","Volkswagen Ag","officer.end_date","46","2014-05-09"
"30","Volkswagen Ag","officer.name","50","Philipp Doctor Besson"
"31","Volkswagen Ag","officer.position","51","prokurist"
"32","Volkswagen Ag","officer.start_date","52","2013-07-19"
"33","Volkswagen Ag","officer.end_date","53","2018-11-01"
"34","Compass Group Plc","City1","1","Compass House
Guildford Street, Chertsey, Surrey, KT16 9BQ"
"35","Compass Group Plc","City2","2","Compass House
Guildford Street"
"36","Compass Group Plc","Country1","3","United Kingdom"
"37","Compass Group Plc","Inactive","4","FALSE"
"38","Compass Group Plc","IncorpDate","5","2000-09-29"
"39","Compass Group Plc","LastUpdate","6","2020-09-15T06:39:10+00:00"
"40","Compass Group Plc","LegalJur","7","gb"
"41","Compass Group Plc","Location1","8","Chertsey"
"42","Compass Group Plc","Location2","9","Surrey"
"43","Compass Group Plc","Name","10","COMPASS GROUP PLC"
"44","Compass Group Plc","OpenCorpNum","11","04083914"
"45","Compass Group Plc","OpenCorpURL","12","https://opencorporates.com/companies/gb/04083914"
"46","Compass Group Plc","Postal1","13","KT16 9BQ"
"47","Compass Group Plc","Predecessor1","14","COMPASS DEMERGER LIMITED"
"48","Compass Group Plc","RegURL","15","https://beta.companieshouse.gov.uk/company/04083914"
"49","Compass Group Plc","Status","16","Active"
"50","Compass Group Plc","Type1","17","Public Limited Company"
"51","Compass Group Plc","officer.name","371","TIMOTHY CHARLES MASON"
"52","Compass Group Plc","officer.position","372","secretary"
"53","Compass Group Plc","officer.start_date","373","2005-09-30"
"54","Compass Group Plc","officer.end_date","374","2007-05-31"
"55","Compass Group Plc","officer.name","378","RONALD MARTIN MORLEY"
"56","Compass Group Plc","officer.position","379","secretary"
"57","Compass Group Plc","officer.start_date","380","2000-09-29"
"58","Compass Group Plc","officer.end_date","381","2005-09-30"
"59","Compass Group Plc","officer.occupation","383","COMPANY SECRETARY"
"60","Compass Group Plc","officer.name","386","SWIFT INCORPORATIONS LIMITED"
"61","Compass Group Plc","officer.position","387","secretary"
"62","Compass Group Plc","officer.start_date","388","2000-09-29"
"63","Compass Group Plc","officer.end_date","389","2000-09-29"
"64","Compass Group Plc","officer.name","393","MARK JONATHAN WHITE"
"65","Compass Group Plc","officer.position","394","secretary"
"66","Compass Group Plc","officer.start_date","395","2007-06-01"
"67","Compass Group Plc","officer.end_date","396","2018-09-30"
"68","Compass Group Plc","officer.name","400","CAROL ANN ARROWSMITH"
"69","Compass Group Plc","officer.position","401","director"
"70","Compass Group Plc","officer.start_date","402","2014-06-01"
"71","Compass Group Plc","officer.occupation","404","PARTNER, DELOITTE"
"72","Compass Group Plc","officer.name","407","MICHAEL JOHN BAILEY"
"73","Compass Group Plc","officer.position","408","director"
"74","Compass Group Plc","officer.start_date","409","2000-11-24"
"75","Compass Group Plc","officer.end_date","410","2006-05-31"
"76","Compass Group Plc","officer.occupation","412","COMPANY DIRECTOR"
"77","Compass Group Plc","officer.name","415","JOHN GEORGE BASON"
"78","Compass Group Plc","officer.position","416","director"
"79","Compass Group Plc","officer.start_date","417","2011-06-21"
"80","Compass Group Plc","officer.occupation","419","COMPANY DIRECTOR"
"81","Compass Group Plc","officer.name","422","PETER HUGH BLACKBURN"
"82","Compass Group Plc","officer.position","423","director"
"83","Compass Group Plc","officer.start_date","424","2002-04-10"
"84","Compass Group Plc","officer.end_date","425","2007-10-31"
"85","Compass Group Plc","officer.occupation","427","COMPANY DIRECTOR"
"86","Compass Group Plc","officer.name","430","DOMINIC WILLIAM BLAKEMORE"
"87","Compass Group Plc","officer.position","431","director"
"88","Compass Group Plc","officer.start_date","432","2012-02-27"
"89","Compass Group Plc","officer.occupation","434","COMPANY DIRECTOR"
"90","Compass Group Plc","officer.name","437","STEPHEN CHARLES BURRARD-LUCAS"
"91","Compass Group Plc","officer.position","438","director"
"92","Compass Group Plc","officer.start_date","439","2004-07-07"
"93","Compass Group Plc","officer.end_date","440","2011-06-21"
"94","Compass Group Plc","officer.occupation","442","COMPANY DIRECTOR"
"95","Compass Group Plc","officer.name","445","DENIS PATRICK CASSIDY"
"96","Compass Group Plc","officer.position","446","director"
"97","Compass Group Plc","officer.start_date","447","2000-11-24"
"98","Compass Group Plc","officer.end_date","448","2005-02-14"
"99","Compass Group Plc","officer.occupation","450","COMPANY DIRECTOR"
"100","Compass Group Plc","officer.name","453","PETER EDWARD BLACKBURN CAWDRON"
"101","Compass Group Plc","officer.position","454","director"
"102","Compass Group Plc","officer.start_date","455","2000-11-24"
"103","Compass Group Plc","officer.end_date","456","2007-02-16"
"104","Compass Group Plc","officer.occupation","458","COMPANY DIRECTOR"
"105","Compass Group Plc","officer.name","461","JAMES ROBERT CROSBY"
"106","Compass Group Plc","officer.position","462","director"
"107","Compass Group Plc","officer.start_date","463","2007-02-17"
"108","Compass Group Plc","officer.end_date","464","2013-04-09"
"109","Compass Group Plc","officer.occupation","466","DIRECTOR"
"110","Compass Group Plc","officer.name","469","ALAIN FRANCOIS DUPUIS"
"111","Compass Group Plc","officer.position","470","director"
"112","Compass Group Plc","officer.start_date","471","2000-11-24"
"113","Compass Group Plc","officer.end_date","472","2005-10-01"
"114","Compass Group Plc","officer.occupation","474","COMPANY DIRECTOR"
"115","Compass Group Plc","officer.name","477","ROY ALAN GARDNER"
"116","Compass Group Plc","officer.position","478","director"
"117","Compass Group Plc","officer.start_date","479","2005-10-01"
"118","Compass Group Plc","officer.end_date","480","2014-02-06"
"119","Compass Group Plc","officer.occupation","482","COMPANY DIRECTOR"
"120","Compass Group Plc","officer.name","485","VALERIE FRANCES GOODING"
"121","Compass Group Plc","officer.position","486","director"
"122","Compass Group Plc","officer.start_date","487","2000-11-24"
"123","Compass Group Plc","officer.end_date","488","2006-12-31"
"124","Compass Group Plc","officer.occupation","490","COMPANY DIRECTOR"
"125","Compass Group Plc","officer.name","493","DAVID MARTIN GRATTON"
"126","Compass Group Plc","officer.position","494","director"
"127","Compass Group Plc","officer.start_date","495","2000-09-29"
"128","Compass Group Plc","officer.end_date","496","2000-12-06"
