"","ESTAT_MNE","Var","VarID","Value"
"129","Compass Group Plc","officer.occupation","498","GROUP FINANCIAL CONTROLLER"
"130","Compass Group Plc","officer.name","501","GARY RICHARD GREEN"
"131","Compass Group Plc","officer.position","502","director"
"132","Compass Group Plc","officer.start_date","503","2007-01-01"
"133","Compass Group Plc","officer.occupation","505","DIRECTOR"
"134","Compass Group Plc","officer.name","508","CLIVE WILLIAM PATRICK GRUNDY"
"135","Compass Group Plc","officer.position","509","director"
"136","Compass Group Plc","officer.start_date","510","2002-10-01"
"137","Compass Group Plc","officer.end_date","511","2005-07-29"
"138","Compass Group Plc","officer.occupation","513","COMPANY DIRECTOR"
"139","Compass Group Plc","officer.name","516","INSTANT COMPANIES LIMITED"
"140","Compass Group Plc","officer.position","517","director"
"141","Compass Group Plc","officer.start_date","518","2000-09-29"
"142","Compass Group Plc","officer.end_date","519","2000-09-29"
"143","Compass Group Plc","officer.name","523","SVEN ALEXANDER KADO"
"144","Compass Group Plc","officer.position","524","director"
"145","Compass Group Plc","officer.start_date","525","2002-04-10"
"146","Compass Group Plc","officer.end_date","526","2009-02-05"
"147","Compass Group Plc","officer.occupation","528","COMPANY DIRECTOR"
"148","Compass Group Plc","officer.name","531","ANDREW PATRICK LYNCH"
"149","Compass Group Plc","officer.position","532","director"
"150","Compass Group Plc","officer.start_date","533","2000-11-24"
"151","Compass Group Plc","officer.end_date","534","2005-09-28"
"152","Compass Group Plc","officer.occupation","536","COMPANY DIRECTOR"
"153","Compass Group Plc","officer.name","539","FRANCIS HENRY MACKAY"
"154","Compass Group Plc","officer.position","540","director"
"155","Compass Group Plc","officer.start_date","541","2000-11-24"
"156","Compass Group Plc","officer.end_date","542","2006-06-30"
"157","Compass Group Plc","officer.occupation","544","COMPANY DIRECTOR"
"158","Compass Group Plc","officer.name","547","ANDREW DAVID MARTIN"
"159","Compass Group Plc","officer.position","548","director"
"160","Compass Group Plc","officer.start_date","549","2004-03-15"
"161","Compass Group Plc","officer.end_date","550","2015-12-01"
"162","Compass Group Plc","officer.occupation","552","DIRECTOR"
"163","Compass Group Plc","officer.name","555","RONALD MARTIN MORLEY"
"164","Compass Group Plc","officer.position","556","director"
"165","Compass Group Plc","officer.start_date","557","2000-09-29"
"166","Compass Group Plc","officer.end_date","558","2000-12-06"
"167","Compass Group Plc","officer.occupation","560","COMPANY SECRETARY"
"168","Compass Group Plc","officer.name","563","TIMOTHY CHARLES PARKER"
"169","Compass Group Plc","officer.position","564","director"
"170","Compass Group Plc","officer.start_date","565","2008-11-01"
"171","Compass Group Plc","officer.end_date","566","2010-12-31"
"172","Compass Group Plc","officer.occupation","568","DIRECTOR"
"173","Compass Group Plc","officer.name","571","TIMOTHY CHARLES PARKER"
"174","Compass Group Plc","officer.position","572","director"
"175","Compass Group Plc","officer.start_date","573","2007-02-17"
"176","Compass Group Plc","officer.end_date","574","2008-05-23"
"177","Compass Group Plc","officer.occupation","576","DIRECTOR"
"178","Compass Group Plc","officer.name","579","DONALD AUSTIN ROBERT"
"179","Compass Group Plc","officer.position","580","director"
"180","Compass Group Plc","officer.start_date","581","2009-05-08"
"181","Compass Group Plc","officer.end_date","582","2018-05-31"
"182","Compass Group Plc","officer.occupation","584","DIRECTOR"
"183","Compass Group Plc","officer.name","587","IAN ROBINSON"
"184","Compass Group Plc","officer.position","588","director"
"185","Compass Group Plc","officer.start_date","589","2006-12-01"
"186","Compass Group Plc","officer.occupation","591","COMPANY DIRECTOR"
"187","Compass Group Plc","officer.name","594","NELSON LUIZ COSTA SILVA"
"188","Compass Group Plc","officer.position","595","director"
"189","Compass Group Plc","officer.start_date","596","2015-07-16"
"190","Compass Group Plc","officer.occupation","598","COMPANY DIRECTOR"
"191","Compass Group Plc","officer.name","601","JONATHAN DAVID THOMSON"
"192","Compass Group Plc","officer.position","602","director"
"193","Compass Group Plc","officer.start_date","603","2015-12-01"
"194","Compass Group Plc","officer.end_date","604","2018-12-31"
"195","Compass Group Plc","officer.occupation","606","COMPANY DIRECTOR"
"196","Compass Group Plc","officer.name","609","IREENA VITTAL"
"197","Compass Group Plc","officer.position","610","director"
"198","Compass Group Plc","officer.start_date","611","2015-07-16"
"199","Compass Group Plc","officer.occupation","613","COMPANY DIRECTOR"
"200","Compass Group Plc","officer.name","616","PAUL STEVEN WALSH"
"201","Compass Group Plc","officer.position","617","director"
"202","Compass Group Plc","officer.start_date","618","2014-01-01"
"203","Compass Group Plc","officer.occupation","620","COMPANY DIRECTOR"
"204","Compass Group Plc","officer.name","623","STEFAN BOMHARD"
"205","Compass Group Plc","officer.position","624","director"
"206","Compass Group Plc","officer.start_date","625","2016-05-05"
"207","Compass Group Plc","officer.occupation","627","COMPANY DIRECTOR"
"208","Compass Group Plc","officer.name","630","SUSAN ELIZABETH MURRAY"
"209","Compass Group Plc","officer.position","631","director"
"210","Compass Group Plc","officer.start_date","632","2007-10-11"
"211","Compass Group Plc","officer.end_date","633","2017-02-02"
"212","Compass Group Plc","officer.occupation","635","DIRECTOR"
"213","Compass Group Plc","officer.name","638","RICHARD JOHN COUSINS"
"214","Compass Group Plc","officer.position","639","director"
"215","Compass Group Plc","officer.start_date","640","2006-05-02"
"216","Compass Group Plc","officer.end_date","641","2017-12-31"
"217","Compass Group Plc","officer.occupation","643","DIRECTOR"
"218","Compass Group Plc","officer.name","646","ANNE-FRANCOISE NESMES"
"219","Compass Group Plc","officer.position","647","director"
"220","Compass Group Plc","officer.start_date","648","2018-07-01"
"221","Compass Group Plc","officer.occupation","650","COMPANY DIRECTOR"
"222","Compass Group Plc","officer.name","653","ANNE-FRANCOISE NESMES"
"223","Compass Group Plc","officer.position","654","director"
"224","Compass Group Plc","officer.start_date","655","2018-07-01"
"225","Compass Group Plc","officer.occupation","657","COMPANY DIRECTOR"
"226","Compass Group Plc","officer.name","660","JOHN ANTHONY BRYANT"
"227","Compass Group Plc","officer.position","661","director"
"228","Compass Group Plc","officer.start_date","662","2018-09-01"
"229","Compass Group Plc","officer.occupation","664","COMPANY DIRECTOR"
"230","Compass Group Plc","officer.name","667","ALISON REBECCA YAPP"
"231","Compass Group Plc","officer.position","668","secretary"
"232","Compass Group Plc","officer.start_date","669","2018-10-01"
"233","Compass Group Plc","officer.name","673","KAREN WITTS"
"234","Compass Group Plc","officer.position","674","director"
"235","Compass Group Plc","officer.start_date","675","2019-04-08"
"236","Compass Group Plc","officer.occupation","677","COMPANY DIRECTOR"
"237","Compass Group Plc","officer.name","680","IAN KEITH MEAKINS"
"238","Compass Group Plc","officer.position","681","director"
"239","Compass Group Plc","officer.start_date","682","2020-09-01"
"240","Compass Group Plc","officer.occupation","684","COMPANY DIRECTOR"
"241","Deutsche Post Ag","City1","1","Charles-de-Gaulle-Str."
"242","Deutsche Post Ag","City2","2","Charles-de-Gaulle-Str."
"243","Deutsche Post Ag","Country1","3","Germany"
"244","Deutsche Post Ag","Inactive","4","FALSE"
"245","Deutsche Post Ag","IncorpDate","5",NA
"246","Deutsche Post Ag","LastUpdate","6","2020-10-08T07:19:07+00:00"
"247","Deutsche Post Ag","LegalJur","7","de"
"248","Deutsche Post Ag","Location1","8",NA
"249","Deutsche Post Ag","Location2","9",NA
"250","Deutsche Post Ag","Name","10","Deutsche Post AG"
"251","Deutsche Post Ag","OpenCorpNum","11","R3201_HRB6792"
"252","Deutsche Post Ag","OpenCorpURL","12","https://opencorporates.com/companies/de/R3201_HRB6792"
"253","Deutsche Post Ag","Postal1","13",NA
"254","Deutsche Post Ag","Predecessor1","14",NA
"255","Deutsche Post Ag","RegURL","15",NA
"256","Deutsche Post Ag","Status","16","Currently Registered"
"257","Deutsche Post Ag","Type1","17",NA
"258","Deutsche Post Ag","officer.name","911","Katrin Asher"
"259","Deutsche Post Ag","officer.position","912","prokurist"
"260","Deutsche Post Ag","officer.start_date","913","2006-07-25"
"261","Deutsche Post Ag","officer.end_date","914","2018-06-13"
"262","Deutsche Post Ag","officer.name","918","Oliver Oberg"
"263","Deutsche Post Ag","officer.position","919","prokurist"
"264","Deutsche Post Ag","officer.start_date","920","2018-06-13"
"265","Deutsche Post Ag","officer.name","924","Uwe Brinks"
"266","Deutsche Post Ag","officer.position","925","prokurist"
"267","Deutsche Post Ag","officer.end_date","926","2017-09-12"
"268","Deutsche Post Ag","officer.name","930","Stephan Kreysel"
"269","Deutsche Post Ag","officer.position","931","prokurist"
"270","Deutsche Post Ag","officer.end_date","932","2017-06-13"
"271","Deutsche Post Ag","officer.name","936","Ole Doctor Nordhoff"
"272","Deutsche Post Ag","officer.position","937","prokurist"
"273","Deutsche Post Ag","officer.start_date","938","2017-06-13"
"274","Deutsche Post Ag","officer.name","942","Gerd-Dieter Benzing"
"275","Deutsche Post Ag","officer.position","943","prokurist"
"276","Deutsche Post Ag","officer.end_date","944","2016-12-15"
"277","Deutsche Post Ag","officer.name","948","Christoph Doctor Hempsch"
"278","Deutsche Post Ag","officer.position","949","prokurist"
"279","Deutsche Post Ag","officer.start_date","950","2016-12-15"
"280","Deutsche Post Ag","officer.name","954","Kimberlee Harrison"
"281","Deutsche Post Ag","officer.position","955","prokurist"
"282","Deutsche Post Ag","officer.start_date","956","2016-05-18"
"283","Deutsche Post Ag","officer.name","960","Andrej Doctor Busch"
"284","Deutsche Post Ag","officer.position","961","prokurist"
"285","Deutsche Post Ag","officer.end_date","962","2016-01-20"
"286","Deutsche Post Ag","officer.name","966","Udo Meyer"
"287","Deutsche Post Ag","officer.position","967","prokurist"
"288","Deutsche Post Ag","officer.start_date","968","2016-01-20"
"289","Deutsche Post Ag","officer.name","972","Thomas Hauck"
"290","Deutsche Post Ag","officer.position","973","prokurist"
"291","Deutsche Post Ag","officer.start_date","974","2015-09-02"
"292","Deutsche Post Ag","officer.name","978","David Doctor Urban"
"293","Deutsche Post Ag","officer.position","979","prokurist"
"294","Deutsche Post Ag","officer.end_date","980","2015-06-17"
"295","Deutsche Post Ag","officer.name","984","Geoffrey David Cruikshanks"
"296","Deutsche Post Ag","officer.position","985","prokurist"
"297","Deutsche Post Ag","officer.end_date","986","2014-12-08"
"298","Deutsche Post Ag","officer.name","990","Jan Doctor Sedemund"
"299","Deutsche Post Ag","officer.position","991","prokurist"
"300","Deutsche Post Ag","officer.start_date","992","2014-10-01"
"301","Deutsche Post Ag","officer.name","996","Ingo Bohlken"
"302","Deutsche Post Ag","officer.position","997","prokurist"
"303","Deutsche Post Ag","officer.end_date","998","2014-06-25"
"304","Deutsche Post Ag","officer.name","1002","Tobias Doctor Meyer"
"305","Deutsche Post Ag","officer.position","1003","prokurist"
"306","Deutsche Post Ag","officer.start_date","1004","2014-06-25"
"307","Deutsche Post Ag","officer.end_date","1005","2019-04-23"
"308","Deutsche Post Ag","officer.name","1009","Dirk-Eberhard Doctor Baukmann"
"309","Deutsche Post Ag","officer.position","1010","prokurist"
"310","Deutsche Post Ag","officer.start_date","1011","2014-04-07"
"311","Deutsche Post Ag","officer.name","1015","Dagmar Noll"
"312","Deutsche Post Ag","officer.position","1016","prokurist"
"313","Deutsche Post Ag","officer.end_date","1017","2013-12-04"
"314","Deutsche Post Ag","officer.name","1021","Holger Bartels"
"315","Deutsche Post Ag","officer.position","1022","prokurist"
"316","Deutsche Post Ag","officer.start_date","1023","2013-12-04"
"317","Deutsche Post Ag","officer.name","1027","Anne Walther"
"318","Deutsche Post Ag","officer.position","1028","prokurist"
"319","Deutsche Post Ag","officer.start_date","1029","2013-07-24"
"320","Deutsche Post Ag","officer.name","1033","Achim Doctor Dünnwald"
"321","Deutsche Post Ag","officer.position","1034","prokurist"
"322","Deutsche Post Ag","officer.start_date","1035","2013-03-20"
"323","Deutsche Post Ag","officer.name","1039","Jörg G Beyer"
"324","Deutsche Post Ag","officer.position","1040","prokurist"
"325","Deutsche Post Ag","officer.start_date","1041","2005-06-09"
"326","Deutsche Post Ag","officer.end_date","1042","2013-03-20"
"327","Deutsche Post Ag","officer.name","1046","Dietrich Franz"
"328","Deutsche Post Ag","officer.position","1047","prokurist"
"329","Deutsche Post Ag","officer.start_date","1048","2013-01-04"
"330","Deutsche Post Ag","officer.name","1052","Herbert Karl Dolak"
"331","Deutsche Post Ag","officer.position","1053","prokurist"
"332","Deutsche Post Ag","officer.end_date","1054","2012-06-04"
"333","Deutsche Post Ag","officer.name","1058","Detlev Doctor Ruland"
"334","Deutsche Post Ag","officer.position","1059","prokurist"
"335","Deutsche Post Ag","officer.start_date","1060","2011-12-08"
"336","Deutsche Post Ag","officer.end_date","1061","2019-01-29"
"337","Deutsche Post Ag","officer.name","1065","Klaus Hammes"
"338","Deutsche Post Ag","officer.position","1066","prokurist"
"339","Deutsche Post Ag","officer.end_date","1067","2011-07-06"
"340","Deutsche Post Ag","officer.name","1071","Lothar Rogg"
"341","Deutsche Post Ag","officer.position","1072","prokurist"
"342","Deutsche Post Ag","officer.end_date","1073","2011-05-13"
"343","Deutsche Post Ag","officer.name","1077","Martin Linde"
"344","Deutsche Post Ag","officer.position","1078","prokurist"
"345","Deutsche Post Ag","officer.start_date","1079","2011-05-13"
"346","Deutsche Post Ag","officer.name","1083","Ria Hendrikx"
"347","Deutsche Post Ag","officer.position","1084","prokurist"
"348","Deutsche Post Ag","officer.end_date","1085","2011-02-25"
"349","Deutsche Post Ag","officer.name","1089","Clemens Doctor Beckmann"
"350","Deutsche Post Ag","officer.position","1090","prokurist"
"351","Deutsche Post Ag","officer.start_date","1091","2011-02-25"
"352","Deutsche Post Ag","officer.end_date","1092","2019-04-10"
"353","Deutsche Post Ag","officer.name","1096","Hugo Doctor Eckseler"
"354","Deutsche Post Ag","officer.position","1097","prokurist"
"355","Deutsche Post Ag","officer.end_date","1098","2010-11-22"
"356","Deutsche Post Ag","officer.name","1102","Ralph Klin"
"357","Deutsche Post Ag","officer.position","1103","prokurist"
"358","Deutsche Post Ag","officer.start_date","1104","2010-11-22"
"359","Deutsche Post Ag","officer.name","1108","Reiner Wilfried Doctor Löffler"
"360","Deutsche Post Ag","officer.position","1109","prokurist"
"361","Deutsche Post Ag","officer.start_date","1110","2010-05-26"
"362","Deutsche Post Ag","officer.name","1114","Christian Werner Karl-Heinz Faißt"
"363","Deutsche Post Ag","officer.position","1115","prokurist"
"364","Deutsche Post Ag","officer.end_date","1116","2009-12-23"
"365","Deutsche Post Ag","officer.name","1120","Stefan Friedl"
"366","Deutsche Post Ag","officer.position","1121","prokurist"
"367","Deutsche Post Ag","officer.start_date","1122","2009-12-23"
"368","Deutsche Post Ag","officer.name","1126","Severin Martin"
"369","Deutsche Post Ag","officer.position","1127","prokurist"
"370","Deutsche Post Ag","officer.start_date","1128","2009-10-05"
"371","Deutsche Post Ag","officer.name","1132","Stefan Decher"
"372","Deutsche Post Ag","officer.position","1133","prokurist"
"373","Deutsche Post Ag","officer.end_date","1134","2009-08-05"
"374","Deutsche Post Ag","officer.name","1138","Bernd Doctor Boecken"
"375","Deutsche Post Ag","officer.position","1139","prokurist"
"376","Deutsche Post Ag","officer.end_date","1140","2009-05-26"
"377","Deutsche Post Ag","officer.name","1144","Ria Hendrikx"
"378","Deutsche Post Ag","officer.position","1145","prokurist"
"379","Deutsche Post Ag","officer.start_date","1146","2009-05-26"
"380","Deutsche Post Ag","officer.name","1150","Frank Hermann Heinrich von Alten-Bockum"
"381","Deutsche Post Ag","officer.position","1151","prokurist"
"382","Deutsche Post Ag","officer.end_date","1152","2009-04-07"
"383","Deutsche Post Ag","officer.name","1156","Christof E Doctor Ehrhart"
"384","Deutsche Post Ag","officer.position","1157","prokurist"
"385","Deutsche Post Ag","officer.start_date","1158","2009-04-07"
"386","Deutsche Post Ag","officer.name","1162","Markus Reckling"
"387","Deutsche Post Ag","officer.position","1163","prokurist"
"388","Deutsche Post Ag","officer.start_date","1164","2009-01-08"
"389","Deutsche Post Ag","officer.name","1168","Heinrich Doctor Brakmann"
"390","Deutsche Post Ag","officer.position","1169","prokurist"
"391","Deutsche Post Ag","officer.end_date","1170","2008-08-06"
"392","Deutsche Post Ag","officer.name","1174","Henrik Hänche"
"393","Deutsche Post Ag","officer.position","1175","prokurist"
"394","Deutsche Post Ag","officer.start_date","1176","2008-08-06"
"395","Deutsche Post Ag","officer.name","1180","Hermann Ude"
"396","Deutsche Post Ag","officer.position","1181","prokurist"
"397","Deutsche Post Ag","officer.end_date","1182","2008-04-10"
"398","Deutsche Post Ag","officer.name","1186","Lutz Glandt"
"399","Deutsche Post Ag","officer.position","1187","prokurist"
"400","Deutsche Post Ag","officer.start_date","1188","2008-04-10"
"401","Deutsche Post Ag","officer.name","1192","Margrit Jelonnek-Franzen"
"402","Deutsche Post Ag","officer.position","1193","prokurist"
"403","Deutsche Post Ag","officer.end_date","1194","2007-10-18"
"404","Deutsche Post Ag","officer.name","1198","Helmut Meier-Tanski"
"405","Deutsche Post Ag","officer.position","1199","prokurist"
"406","Deutsche Post Ag","officer.start_date","1200","2007-10-18"
"407","Deutsche Post Ag","officer.name","1204","Jürgen Gerdes"
"408","Deutsche Post Ag","officer.position","1205","prokurist"
"409","Deutsche Post Ag","officer.end_date","1206","2007-07-06"
"410","Deutsche Post Ag","officer.name","1210","Andreas Doctor Jerschensky"
"411","Deutsche Post Ag","officer.position","1211","prokurist"
"412","Deutsche Post Ag","officer.start_date","1212","2007-07-06"
"413","Deutsche Post Ag","officer.name","1216","Paul William Coutts"
"414","Deutsche Post Ag","officer.position","1217","prokurist"
"415","Deutsche Post Ag","officer.start_date","1218","2006-11-09"
"416","Deutsche Post Ag","officer.end_date","1219","2007-05-10"
"417","Deutsche Post Ag","officer.name","1223","Niclas Doctor Krauss"
"418","Deutsche Post Ag","officer.position","1224","prokurist"
"419","Deutsche Post Ag","officer.start_date","1225","2007-05-10"
"420","Deutsche Post Ag","officer.name","1229","Marco Demuth"
"421","Deutsche Post Ag","officer.position","1230","prokurist"
"422","Deutsche Post Ag","officer.end_date","1231","2006-11-17"
"423","Deutsche Post Ag","officer.name","1235","Thomas Kipp"
"424","Deutsche Post Ag","officer.position","1236","prokurist"
"425","Deutsche Post Ag","officer.start_date","1237","2006-11-17"
"426","Deutsche Post Ag","officer.name","1241","Christian Baluk"
"427","Deutsche Post Ag","officer.position","1242","prokurist"
"428","Deutsche Post Ag","officer.start_date","1243","2006-03-15"
"429","Deutsche Post Ag","officer.end_date","1244","2006-11-09"
"430","Deutsche Post Ag","officer.name","1248","Günter Doctor Bulk"
"431","Deutsche Post Ag","officer.position","1249","prokurist"
"432","Deutsche Post Ag","officer.start_date","1250","2006-06-07"
"433","Deutsche Post Ag","officer.name","1254","Wolfgang P Albeck"
"434","Deutsche Post Ag","officer.position","1255","prokurist"
"435","Deutsche Post Ag","officer.start_date","1256","2005-02-10"
"436","Deutsche Post Ag","officer.end_date","1257","2006-06-07"
"437","Deutsche Post Ag","officer.name","1261","Vera-Kristin Grundmann"
"438","Deutsche Post Ag","officer.position","1262","prokurist"
"439","Deutsche Post Ag","officer.end_date","1263","2006-03-15"
"440","Deutsche Post Ag","officer.name","1267","Stefan Doctor Zeisel"
"441","Deutsche Post Ag","officer.position","1268","prokurist"
"442","Deutsche Post Ag","officer.start_date","1269","2005-09-12"
"443","Deutsche Post Ag","officer.name","1273","Reiner Mothes"
"444","Deutsche Post Ag","officer.position","1274","prokurist"
"445","Deutsche Post Ag","officer.end_date","1275","2005-07-13"
"446","Deutsche Post Ag","officer.name","1279","Clemens Doctor Beckmann"
"447","Deutsche Post Ag","officer.position","1280","prokurist"
"448","Deutsche Post Ag","officer.end_date","1281","2005-06-09"
"449","Deutsche Post Ag","officer.name","1285","Clemens Günther"
"450","Deutsche Post Ag","officer.position","1286","prokurist"
"451","Deutsche Post Ag","officer.start_date","1287","2005-03-15"
"452","Deutsche Post Ag","officer.name","1291","Christian Herrlich"
"453","Deutsche Post Ag","officer.position","1292","prokurist"
"454","Deutsche Post Ag","officer.end_date","1293","2005-02-10"
"455","Deutsche Post Ag","officer.name","1297","Gerhard Doctor Troschke"
"456","Deutsche Post Ag","officer.position","1298","prokurist"
"457","Deutsche Post Ag","officer.end_date","1299","2004-12-28"
