"","ESTAT_MNE","Var","VarID","Value"
"1","Volkswagen Ag","AreaServed","1","Worldwide"
"2","Volkswagen Ag","Assets1","2","424.982"
"3","Volkswagen Ag","Assets2","3",NA
"4","Volkswagen Ag","AssetsCurrency","4","usDollar"
"5","Volkswagen Ag","AssetsUnderManagement","5",NA
"6","Volkswagen Ag","AssetsUnderManagementCurrency","6",NA
"7","Volkswagen Ag","AssetsYear","7","2014"
"8","Volkswagen Ag","City1","8","Wolfsburg"
"9","Volkswagen Ag","City2","9",NA
"10","Volkswagen Ag","Country1","10","Germany"
"11","Volkswagen Ag","Country2","11",NA
"12","Volkswagen Ag","EBIT","12",NA
"13","Volkswagen Ag","EBITCurrency","13",NA
"14","Volkswagen Ag","Employees","14","610"
"15","Volkswagen Ag","EmployeesYear","15","2016"
"16","Volkswagen Ag","Equity1","16",NA
"17","Volkswagen Ag","Equity2","17",NA
"18","Volkswagen Ag","EquityYear","18",NA
"19","Volkswagen Ag","FormationDate","19",NA
"20","Volkswagen Ag","FoundationPlace","20",NA
"21","Volkswagen Ag","Founders1","21","German_Labour_Front"
"22","Volkswagen Ag","Founders2","22",NA
"23","Volkswagen Ag","FoundingDate","23",NA
"24","Volkswagen Ag","FoundingYear","24",NA
"25","Volkswagen Ag","IncomeYear","25","2014"
"26","Volkswagen Ag","Industry1","26","Automotive"
"27","Volkswagen Ag","Industry2","27",NA
"28","Volkswagen Ag","ISIN","28",NA
"29","Volkswagen Ag","KeyPeople","29",NA
"30","Volkswagen Ag","KeyPerson","30","Matthias_Müller_(businessman)"
"31","Volkswagen Ag","Latitude","31",NA
"32","Volkswagen Ag","Location1","32",NA
"33","Volkswagen Ag","Location2","33",NA
"34","Volkswagen Ag","Location3","34",NA
"35","Volkswagen Ag","LogoURL","35","http://commons.wikimedia.org/wiki/Special:FilePath/Volkswagen_logo_2012.svg"
"36","Volkswagen Ag","Longitude","36",NA
"37","Volkswagen Ag","ManagedBy","37",NA
"38","Volkswagen Ag","MarketCap","38",NA
"39","Volkswagen Ag","MarketCapCurrency","39",NA
"40","Volkswagen Ag","Name","40","Volkswagen"
"41","Volkswagen Ag","NetIncome","41","13.393"
"42","Volkswagen Ag","NetIncomeCurrency","42","usDollar"
"43","Volkswagen Ag","NetIncomeUnit","43",NA
"44","Volkswagen Ag","NetIncomeYear","44",NA
"45","Volkswagen Ag","NetProfit","45",NA
"46","Volkswagen Ag","NetProfitCurrency","46",NA
"47","Volkswagen Ag","NoOfLocations1","47",NA
"48","Volkswagen Ag","NoOfLocations2","48",NA
"49","Volkswagen Ag","NoOfLocationsYear","49",NA
"50","Volkswagen Ag","OperatingIncome1","50",NA
"51","Volkswagen Ag","OperatingIncome2","51",NA
"52","Volkswagen Ag","ParentCompany","52","Volkswagen_Group"
"53","Volkswagen Ag","Predecessor1","53",NA
"54","Volkswagen Ag","Predecessor2","54",NA
"55","Volkswagen Ag","Predecessor3","55",NA
"56","Volkswagen Ag","Profit","56",NA
"57","Volkswagen Ag","ProfitCurrency","57",NA
"58","Volkswagen Ag","ProfitYear","58",NA
"59","Volkswagen Ag","RegionServed","59",NA
"60","Volkswagen Ag","Revenue1","60","244.985"
"61","Volkswagen Ag","Revenue2","61",NA
"62","Volkswagen Ag","RevenueCurrency","62","usDollar"
"63","Volkswagen Ag","RevenueYear","63","2014"
"64","Volkswagen Ag","Services1","64",NA
"65","Volkswagen Ag","Services2","65",NA
"66","Volkswagen Ag","Slogan1","66",NA
"67","Volkswagen Ag","Slogan2","67",NA
"68","Volkswagen Ag","Symbol","68",NA
"69","Volkswagen Ag","TotalAssets","69",NA
"70","Volkswagen Ag","TotalAssetsCurrency","70",NA
"71","Volkswagen Ag","TradingName","71",NA
"72","Volkswagen Ag","Type1","72","Public"
"73","Volkswagen Ag","Type2","73",NA
"74","Volkswagen Ag","URL1","74","http://www.vw.com"
"75","Volkswagen Ag","URL2","75",NA
"76","Volkswagen Ag","WikipediaPrimaryTopic","76","http://en.wikipedia.org/wiki/Volkswagen"
"77","Compass Group Plc","AreaServed","1","Worldwide"
"78","Compass Group Plc","Assets1","2",NA
"79","Compass Group Plc","Assets2","3",NA
"80","Compass Group Plc","AssetsCurrency","4",NA
"81","Compass Group Plc","AssetsUnderManagement","5",NA
"82","Compass Group Plc","AssetsUnderManagementCurrency","6",NA
"83","Compass Group Plc","AssetsYear","7",NA
"84","Compass Group Plc","City1","8",NA
"85","Compass Group Plc","City2","9",NA
"86","Compass Group Plc","Country1","10",NA
"87","Compass Group Plc","Country2","11",NA
"88","Compass Group Plc","EBIT","12",NA
"89","Compass Group Plc","EBITCurrency","13",NA
"90","Compass Group Plc","Employees","14","500000"
"91","Compass Group Plc","EmployeesYear","15",NA
"92","Compass Group Plc","Equity1","16",NA
"93","Compass Group Plc","Equity2","17",NA
"94","Compass Group Plc","EquityYear","18",NA
"95","Compass Group Plc","FormationDate","19",NA
"96","Compass Group Plc","FoundationPlace","20",NA
"97","Compass Group Plc","Founders1","21",NA
"98","Compass Group Plc","Founders2","22",NA
"99","Compass Group Plc","FoundingDate","23",NA
"100","Compass Group Plc","FoundingYear","24","1941"
"101","Compass Group Plc","IncomeYear","25",NA
"102","Compass Group Plc","Industry1","26","Conglomerate_(company)"
"103","Compass Group Plc","Industry2","27",NA
"104","Compass Group Plc","ISIN","28",NA
"105","Compass Group Plc","KeyPeople","29",NA
"106","Compass Group Plc","KeyPerson","30","Richard_Cousins"
"107","Compass Group Plc","Latitude","31",NA
"108","Compass Group Plc","Location1","32","Chertsey"
"109","Compass Group Plc","Location1","32","Surrey"
"110","Compass Group Plc","Location2","33",NA
"111","Compass Group Plc","Location3","34",NA
"112","Compass Group Plc","LogoURL","35",NA
"113","Compass Group Plc","Longitude","36",NA
"114","Compass Group Plc","ManagedBy","37",NA
"115","Compass Group Plc","MarketCap","38",NA
"116","Compass Group Plc","MarketCapCurrency","39",NA
"117","Compass Group Plc","Name","40","Compass Group plc"
"118","Compass Group Plc","NetIncome","41","8.77E8"
"119","Compass Group Plc","NetIncomeCurrency","42","poundSterling"
"120","Compass Group Plc","NetIncomeUnit","43",NA
"121","Compass Group Plc","NetIncomeYear","44",NA
"122","Compass Group Plc","NetProfit","45",NA
"123","Compass Group Plc","NetProfitCurrency","46",NA
"124","Compass Group Plc","NoOfLocations1","47",NA
"125","Compass Group Plc","NoOfLocations2","48",NA
"126","Compass Group Plc","NoOfLocationsYear","49",NA
"127","Compass Group Plc","OperatingIncome1","50","1261.0"
"128","Compass Group Plc","OperatingIncome2","51",NA
"129","Compass Group Plc","ParentCompany","52","Compass_Group"
"130","Compass Group Plc","Predecessor1","53",NA
"131","Compass Group Plc","Predecessor2","54",NA
"132","Compass Group Plc","Predecessor3","55",NA
"133","Compass Group Plc","Profit","56",NA
"134","Compass Group Plc","ProfitCurrency","57",NA
"135","Compass Group Plc","ProfitYear","58",NA
"136","Compass Group Plc","RegionServed","59",NA
"137","Compass Group Plc","Revenue1","60","17843.0"
"138","Compass Group Plc","Revenue2","61",NA
"139","Compass Group Plc","RevenueCurrency","62","poundSterling"
"140","Compass Group Plc","RevenueYear","63",NA
"141","Compass Group Plc","Services1","64","Facility_management"
"142","Compass Group Plc","Services1","64","Commercial_cleaning"
"143","Compass Group Plc","Services1","64","Service_voucher"
"144","Compass Group Plc","Services1","64","Foodservice"
"145","Compass Group Plc","Services2","65",NA
"146","Compass Group Plc","Slogan1","66",NA
"147","Compass Group Plc","Slogan2","67",NA
