MNE_Estat_Name,ID_PermID
L'Air Liquide Societe Anonyme Pour L'Etude Et L'Exploitation Des Procedes Georges Claude,4295867366
Leoni Ag,4295869612
Suez,4298165294
L'Arche Green N.V.,5000040044
Cushman & Wakefield Plc,
Unicredit Spa,4295875726
L'Oreal,4295867384
Bae Systems Plc,5000001291
Ppf Group N.V.,4298452329
Barclays Plc,8589934333
Adient Public Limited Company,5051772533
A.P. Møller Og Hustru Chastine Mc-Kinney Møllers Fond Til Almene Formaal,
Arcandor Ag,4295868953
Air France - Klm,4295866970
Royal Dutch Shell Plc,4295885039
Bp P.L.C.,4295894740
Marks And Spencer P.L.C.,4295895044
Coop Gruppe Genossenschaft,4296549687
O.C.S. Group Limited,5037343340
British United Provident Association Limited(The),4296593546
Adolf Würth Gmbh & Co. Kg,4296442058
Kingfisher Plc,4295895853
Koninklijke Philips N.V.,4295884721
Lafargeholcim Ltd,4295890620
Lloyds Banking Group Plc,8589934254
Elior Group,4298411478
Sas Rue La Boetie,4298458216
Publicis Groupe S.A.,4295866610
Strabag Se,4298050903
Bureau Veritas,4295867415
Heidelbergcement Ag,4295868961
Caisse Des Depots Et Consignations,4297304387
Camellia Public Limited Company,4295893925
Tui Ag,4295869210
Bnp Paribas,8589934326
Hb Collector Sarl,5059940808
International Consolidated Airlines Group Sa,5001229906
Assicurazioni Generali Spa,4295875714
Eiffage,4295867230
Rethmann Se & Co. Kg,5000824371
Enel Spa,4295875798
Essilorluxottica,4295867261
Edizione Srl,5000065666
Cofra Holding Ag,5046662787
Thales,4295866846
Melrose Industries Plc,5047641169
Om Residual Uk Limited,8589934234
Salini Impregilo Spa,4295875738
Ferrovial Sa,4295889649
Astrazeneca Plc,4295894341
Cnh Industrial N.V.,5039844145
Capita Plc,4295898217
Randstad Holding Luxembourg,4295884627
Holding Reinier,4297680886
E.On Se,5057957727
Kone Oyj,4295866401
John Wood Group Plc,4295897144
Norton Rose Fulbright Llp,5000050765
El Corte Ingles Sa,4296631863
Telecom Italia Spa O Tim Spa,4295875783
Tengelmann Warenhandelsgesellschaft Kg,4295869021
Rwe Ag,4295869049
Ing Groep N.V.,4295884647
British American Tobacco P.L.C.,4295894777
Groupe Crit,4295868133
Fiat Chrysler Automobiles N.V.,5043319761
Adidas Ag,4295868725
Coöperatieve Rabobank U.A.,4298009762
Zurich Insurance Group Ag,4295890717
Rolls-Royce Holdings Plc,5033562382
Ab Electrolux,4295890022
Aon Plc,4296821988
Henkel Ag & Co. Kgaa,4295869260
Aveco Holding Ag,4296352295
Merck Kg Auf Aktien,4295869098
Credit Suisse Group Ag,4295890672
Ibm International C.V.,4298060345
C.H. Boehringer Sohn Ag & Co. Kg,5000003990
Acanthe,4295867690
Voestalpine Ag,4295858976
Serco Group Plc,4295898751
Commerzbank Ag,8589934314
Ceconomy Ag,4295868692
Freudenberg & Co. Kg,4295869229
Nielsen Holdings Plc,5045849000
