MNE_Estat_Name,ID_PermID
Volkswagen Ag,4295869244
Compass Group Plc,4295895403
Deutsche Post Ag,4295869983
G4S Plc,4295893850
Accenture Public Limited Company,4295903017
Iss A/S,4297561123
Sodexo,4295866614
Tesco Plc,4295895258
Siemens Ag,4295869238
Securitas Ab,4295890335
Carrefour,4295866751
Koninklijke Ahold Delhaize N.V.,4295884672
Adecco Group Ag,4295890511
Randstad N.V.,4295884627
Wpp Plc,5037958512
Nestlé S.A.,4295890634
Teleperformance Se,4295866721
Daimler Ag,4295869694
Accor,4295866829
Fresenius Se & Co. Kgaa,5001439044
Continental Ag,4295869236
Hsbc Holdings Plc,8589934275
Rewe-Zentralfinanz Eg,4296133144
Deutsche Telekom Ag,4295870332
Capgemini,4298431423
Peugeot Sa,4295867376
Arcelormittal,5000030092
Vinci,4295867538
Banco Santander Sa,8589934205
"Acs, Actividades De Construccion Y Servicios, Sa",4295889547
Renault,4295867385
Compagnie De Saint-Gobain,4295867362
Lidl Stiftung & Co. Kg,4297363504
J Sainsbury Plc,4295895145
Pontegadea Inversiones Sl,4297816551
Ina-Holding Schaeffler Gmbh & Co. Kg,5045949737
Anheuser-Busch Inbev,5037436229
Veolia Environnement,4295867473
Thyssenkrupp Ag,4295869754
Glencore Plc,5034844193
Unilever Plc,4295894770
Unilever N.V.,4295884772
Orange,4295868416
Robert Bosch Stiftung GmbH,4297838370
Societe Generale,5000039357
Abb Ltd,4295890743
Crh Public Limited Company,4295874867
Aptiv Plc,5035155584
Allianz Se,4295870171
Schneider Electric Se,4295866940
Johnson Controls International Public Limited Company,5043315501
Wittington Investments Limited,4295897294
Associated British Foods Plc,4295894968
Lvmh Moet Hennessy Louis Vuitton,4295866862
Deutsche Lufthansa Ag,4295868979
Bayerische Motoren Werke Ag,4295869227
Airbus Se,4295884955
Bouygues,4295867226
Linde Public Limited Company,5057771033
Wendel,4295868312
Axa,4295867483
Banco Bilbao Vizcaya Argentaria Sociedad Anonima,4295889577
Ramsbury Invest Ab,5040257045
"Telefonica, Sa",5000062703
Basf Se,4295869198
Compagnie Generale Des Etablissements Michelin,4295867411
Bayer Ag,4295869217
Faurecia,4295868248
Firstgroup Plc,4295894629
Valeo,4295867394
Glaxosmithkline Plc,4295895781
Fresenius Medical Care Ag & Co. Kgaa,4295869203
Stichting Ingka Foundation,4296602160
"Sociedade Francisco Manuel Dos Santos, Sgps, S.E.",4298453872
Engie,4295866806
Bt Group Plc,4295895409
Danone,4295867387
Total Sa,5001170594
Ab Volvo,4295890024
Sanofi,4295868215
Standard Chartered Plc,4295895205
Novartis Ag,4295890628
Wm Morrison Supermarkets P L C,4295897683
Nokia Oyj,4295866480
Atos Se,4295867015
Carnival Plc,4295896208
Metro Ag,5056412391
Intercontinental Hotels Group Plc,4295894762
Medtronic Public Limited Company,5043331632
Eaton Corporation Public Limited Company,5037629126
Roche Holding Ag,4295890594
Groupe Bruxelles Lambert,4295859531
Sap Se,5043321284
Intesa Sanpaolo Spa,4295875735
Te Connectivity Ltd.,4295901889
Telefon Ab Lm Ericsson,4295890008
Safran,4295867343
John Swire & Sons Limited,4295896847
Vodafone Group Public Limited Company,4295896661
Anglo American Plc,4295896494
Deutsche Bank Ag,4295869482
Migros-Genossenschafts-Bund,4295890473
