"","x"
"1","http://purl.org/linguistics/gold/hypernym.type"
"2","http://purl.org/linguistics/gold/hypernym.value"
"3","http://dbpedia.org/ontology/successor.type"
"4","http://dbpedia.org/ontology/successor.value"
"5","http://dbpedia.org/ontology/manufacturer.type"
"6","http://dbpedia.org/ontology/manufacturer.value"
"7","http://www.w3.org/1999/02/22-rdf-syntax-ns#type.type"
"8","http://www.w3.org/1999/02/22-rdf-syntax-ns#type.value"
"9","http://www.w3.org/2000/01/rdf-schema#label.type"
"10","http://www.w3.org/2000/01/rdf-schema#label.value"
"11","http://www.w3.org/2000/01/rdf-schema#label.lang"
"12","http://www.w3.org/2000/01/rdf-schema#comment.type"
"13","http://www.w3.org/2000/01/rdf-schema#comment.value"
"14","http://www.w3.org/2000/01/rdf-schema#comment.lang"
"15","http://www.w3.org/2000/01/rdf-schema#seeAlso.type"
"16","http://www.w3.org/2000/01/rdf-schema#seeAlso.value"
"17","http://www.w3.org/2002/07/owl#sameAs.type"
"18","http://www.w3.org/2002/07/owl#sameAs.value"
"19","http://purl.org/dc/terms/subject.type"
"20","http://purl.org/dc/terms/subject.value"
"21","http://xmlns.com/foaf/0.1/name.type"
"22","http://xmlns.com/foaf/0.1/name.value"
"23","http://xmlns.com/foaf/0.1/name.lang"
"24","http://xmlns.com/foaf/0.1/homepage.type"
"25","http://xmlns.com/foaf/0.1/homepage.value"
"26","http://xmlns.com/foaf/0.1/depiction.type"
"27","http://xmlns.com/foaf/0.1/depiction.value"
"28","http://xmlns.com/foaf/0.1/isPrimaryTopicOf.type"
"29","http://xmlns.com/foaf/0.1/isPrimaryTopicOf.value"
"30","http://dbpedia.org/ontology/foundedBy.type"
"31","http://dbpedia.org/ontology/foundedBy.value"
"32","http://dbpedia.org/ontology/industry.type"
"33","http://dbpedia.org/ontology/industry.value"
"34","http://dbpedia.org/ontology/assets.type"
"35","http://dbpedia.org/ontology/assets.value"
"36","http://dbpedia.org/ontology/assets.datatype"
"37","http://dbpedia.org/ontology/internationally.type"
"38","http://dbpedia.org/ontology/internationally.value"
"39","http://dbpedia.org/ontology/internationally.datatype"
"40","http://dbpedia.org/ontology/netIncome.type"
"41","http://dbpedia.org/ontology/netIncome.value"
"42","http://dbpedia.org/ontology/netIncome.datatype"
"43","http://dbpedia.org/ontology/numberOfEmployees.type"
"44","http://dbpedia.org/ontology/numberOfEmployees.value"
"45","http://dbpedia.org/ontology/numberOfEmployees.datatype"
"46","http://dbpedia.org/ontology/production.type"
"47","http://dbpedia.org/ontology/production.value"
"48","http://dbpedia.org/ontology/production.datatype"
"49","http://dbpedia.org/ontology/revenue.type"
"50","http://dbpedia.org/ontology/revenue.value"
"51","http://dbpedia.org/ontology/revenue.datatype"
"52","http://dbpedia.org/ontology/subsidiary.type"
"53","http://dbpedia.org/ontology/subsidiary.value"
"54","http://dbpedia.org/property/assetsYear.type"
"55","http://dbpedia.org/property/assetsYear.value"
"56","http://dbpedia.org/property/assetsYear.datatype"
"57","http://dbpedia.org/property/colwidth.type"
"58","http://dbpedia.org/property/colwidth.value"
"59","http://dbpedia.org/property/colwidth.datatype"
"60","http://dbpedia.org/property/group.type"
"61","http://dbpedia.org/property/group.value"
"62","http://dbpedia.org/property/group.datatype"
"63","http://dbpedia.org/property/incomeYear.type"
"64","http://dbpedia.org/property/incomeYear.value"
"65","http://dbpedia.org/property/incomeYear.datatype"
"66","http://dbpedia.org/property/numEmployeesYear.type"
"67","http://dbpedia.org/property/numEmployeesYear.value"
"68","http://dbpedia.org/property/numEmployeesYear.datatype"
