"","x"
"1","PermID"
"2","Public"
"3","Status"
"4","Inactive Date"
"5","IPO Date"
"6","LEI"
"7","Primary Industry"
"8","Primary Business Sector"
"9","Primary Economic Sector"
"10","Domiciled In"
"11","Incorporated In"
"12","Website"
"13","HQ Address"
"14","HQ Phone"
"15","Registered Address"
"16","Registered Phone"
"17","Instrument Name"
"18","Instrument Type"
"19","RIC"
"20","Ticker"
"21","MIC"
"22","Exchange"
"23"," Andreas Hermann Renschler"
"24"," Athanasios Stimoniaris"
"25"," Bernd Althusmann"
"26"," Bernd Osterloh"
"27"," Berthold Huber"
"28"," Bertina Murkovic"
"29"," Conny Schoenhardt"
"30"," Ferdinand Oliver Porsche"
"31"," Frank Witter"
"32"," Gunnar Kilian"
"33"," Hans Dieter Potsch"
"34"," Hans Michel Piech"
"35"," Hans-Peter Fischer"
"36"," Herbert Diess"
"37"," Hessa Sultan Al-Jaber"
"38"," Hiltrud Dorothea Werner"
"39"," Hussain Ali Ali Al-Abdulla"
"40"," Joerg Hofmann"
"41"," Johan Jaervklo"
"42"," Louise Kiesling Ph.D."
"43"," Marianne Heiss"
"44"," Oliver Blume"
"45"," Peter Mosch"
"46"," Stefan Sommer"
"47"," Stephan Weil"
"48"," Ulrike Jakob"
"49"," Werner Weresch"
"50"," Wolfgang Porsche Ph.D."
"51","Latest Date of Incorporation"
"52"," Alison R. Yapp"
"53"," Anne-Francoise Michele Nesmes"
"54"," Carol Arrowsmith"
"55"," Clare Hunt"
"56"," Dominic Blakemore"
"57"," Federico Tonetti"
"58"," Gary Richard Green"
"59"," Ireena Vittal"
"60"," James Meaney"
"61"," John A. Bryant"
"62"," John George Bason"
"63"," Karen Witts"
"64"," Mark van Dyck"
"65"," Nelson Luiz Costa Silva"
"66"," Palmer Brown"
"67"," Richard J. Cousins"
"68"," Robin Mills"
"69"," Sandra Moura"
"70"," Sapna Sood"
"71"," Stefan Bomhard"
"72"," Venkie Shantaram"
"73"," Andrea Kocsis"
"74"," Frank Appel"
"75"," Gabriele Gulzau"
"76"," Guenther Brauunig"
"77"," Heinrich Hiesinger"
"78"," Ingrid Deltenre"
"79"," Joerg von Dosky"
"80"," John Pearson"
"81"," Katja Windt"
"82"," Ken Allen"
"83"," Mario Daberkow Ph.D."
"84"," Mario Jacubasch"
"85"," Melanie Kreis"
"86"," Monika Schaller"
"87"," Nikolaus von Bomhard"
"88"," Oscar De Bok"
"89"," Roland Oetker"
"90"," Rolf Bauermeister"
"91"," Simone Menne"
"92"," Stefan Schulte"
"93"," Stefanie Weckesser"
"94"," Stephan Teuscher"
"95"," Thomas Held"
"96"," Thomas Koczelnik"
"97"," Thomas Ogilvie"
"98"," Tim Scharwath"
"99"," Tobias Meyer"
