"","x"
"1","lei"
"2","entity_legal_name"
"3","entity_address1_a"
"4","entity_address1_b"
"5","entity_address1_c"
"6","entity_address1_d"
"7","entity_address1_e"
"8","entity_address1_f"
"9","entity_address1_g"
"10","entity_city1"
"11","entity_region1"
"12","entity_country1"
"13","entity_postal1"
"14","entity_hq_address_a"
"15","entity_hq_address_b"
"16","entity_hq_address_c"
"17","entity_hq_address_d"
"18","entity_hq_address_e"
"19","entity_hq_address_f"
"20","entity_hq_address_g"
"21","entity_hq_city"
"22","entity_hq_region"
"23","entity_hq_country"
"24","entity_hq_postal"
"25","entity_address2_type"
"26","entity_address2_a"
"27","entity_address2_b"
"28","entity_address2_c"
"29","entity_address2_d"
"30","entity_address2_e"
"31","entity_address2_f"
"32","entity_address2_g"
"33","entity_city2"
"34","entity_region2"
"35","entity_country2"
"36","entity_postal2"
"37","entity_registration_authority_id"
"38","entity_legal_jurisdiction"
"39","entity_category"
"40","entity_legal_form"
"41","Entity.LegalForm.OtherLegalForm"
"42","entity_status"
"43","initial_registration_date"
"44","last_updated_date"
"45","registration_status"
"46","validation_authority_sources"
"47","validation_authority_id"
