"","x"
"1","name"
"2","company_number"
"3","jurisdiction_code"
"4","inactive"
"5","current_status"
"6","created_at"
"7","updated_at"
"8","retrieved_at"
"9","opencorporates_url"
"10","publisher"
"11","url"
"12","native_company_number"
"13","previous_registration_entities.previous_registration_entity.name"
"14","previous_registration_entities.previous_registration_entity.jurisdiction_code"
"15","previous_registration_entities.previous_registration_entity.company_number"
"16","previous_registration_entities.previous_registration_entity.opencorporates_url"
"17","registered_address_in_full"
"18","street_address"
"19","country"
"20","corporate_groupings.corporate_grouping.name"
"21","corporate_groupings.corporate_grouping.wikipedia_id"
"22","corporate_groupings.corporate_grouping.opencorporates_url"
"23","corporate_groupings.corporate_grouping.updated_at"
"24","officer.id"
"25","officer.name"
"26","officer.position"
"27","officer.end_date"
"28","officer.opencorporates_url"
"29","officer.inactive"
"30","officer.start_date"
"31","incorporation_date"
"32","company_type"
"33","registry_url"
"34","terms"
"35","previous_names.company_name"
"36","previous_names.start_date"
"37","previous_names.end_date"
"38","industry_code.code"
"39","industry_code.description"
"40","industry_code.code_scheme_id"
"41","industry_code.code_scheme_name"
"42","industry_code.uid"
"43","trademark_registration.mark_details.mark_text"
"44","trademark_registration.register_name"
"45","trademark_registration.registration_date"
"46","trademark_registration.expiry_date"
"47","trademark_registration.opencorporates_url"
"48","trademark_registration.mark_details.mark_image_url"
"49","locality"
"50","region"
"51","postal_code"
"52","most_recent.datum.id"
"53","most_recent.datum.title"
"54","most_recent.datum.data_type"
"55","most_recent.datum.description"
"56","most_recent.datum.opencorporates_url"
"57","total_count"
"58","filing.id"
"59","filing.title"
"60","filing.description"
"61","filing.uid"
"62","filing.filing_type_code"
"63","filing.filing_type_name"
"64","filing.opencorporates_url"
"65","filing.date"
"66","officer.occupation"
"67","company_name"
"68","start_date"
"69","end_date"
"70","terms_url"
"71","number_of_employees"
"72","source_url"
"73","profit.end_date"
"74","profit.start_date"
"75","profit.value"
"76","profit.currency"
"77","revenue.end_date"
"78","revenue.start_date"
"79","revenue.value"
"80","revenue.currency"
"81","current_assets.date"
"82","current_assets.value"
"83","current_assets.currency"
"84","accounts_date"
"85","accounts_type"
"86","source_location"
"87","currency"
"88","corporate_grouping.name"
"89","corporate_grouping.wikipedia_id"
"90","corporate_grouping.opencorporates_url"
"91","corporate_grouping.updated_at"
"92","alternate_registration_entities.alternate_registration_entity.name"
"93","alternate_registration_entities.alternate_registration_entity.jurisdiction_code"
"94","alternate_registration_entities.alternate_registration_entity.company_number"
"95","alternate_registration_entities.alternate_registration_entity.opencorporates_url"
"96","type"
"97","restricted_for_marketing"
"98","identifier.uid"
"99","identifier.identifier_system_code"
"100","identifier.identifier_system_name"
"101","alternative_names.company_name"
"102","alternative_names.type"
"103","trademark_registrations.trademark_registration.mark_details.mark_text"
"104","trademark_registrations.trademark_registration.mark_details.mark_image_url"
"105","trademark_registrations.trademark_registration.register_name"
"106","trademark_registrations.trademark_registration.registration_date"
"107","trademark_registrations.trademark_registration.opencorporates_url"
"108","officers.officer.id"
"109","officers.officer.name"
"110","officers.officer.position"
"111","officers.officer.opencorporates_url"
"112","officers.officer.inactive"
"113","ultimate_beneficial_owner.name"
"114","ultimate_beneficial_owner.opencorporates_url"
