"","id","av","avb"
"45","Capgemini","310","MNE_Band5(301+)"
"46","Capita Plc","176","MNE_Band3(101-200)"
"47","Carnival Plc","314","MNE_Band5(301+)"
"48","Carrefour","261","MNE_Band4(201-300)"
"49","Ceconomy Ag","143","MNE_Band3(101-200)"
"50","Cnh Industrial N.V.","194","MNE_Band3(101-200)"
"51","Cofra Holding Ag","44","MNE_Band1(0-50)"
"52","Commerzbank Ag","287","MNE_Band4(201-300)"
"53","Compagnie De Saint-Gobain","262","MNE_Band4(201-300)"
"54","Compagnie Generale Des Etablissements Michelin","187","MNE_Band3(101-200)"
"55","Compass Group Plc","388","MNE_Band5(301+)"
"56","Continental Ag","350","MNE_Band5(301+)"
"57","Coop Gruppe Genossenschaft","75","MNE_Band2(51-100)"
"58","Cooperatieve Rabobank U.A.","163","MNE_Band3(101-200)"
"59","Credit Suisse Group Ag","223","MNE_Band4(201-300)"
"60","Crh Public Limited Company","159","MNE_Band3(101-200)"
"61","Cushman & Wakefield Plc","15","MNE_Band1(0-50)"
"62","Daimler Ag","1030","MNE_Band5(301+)"
"63","Danone","211","MNE_Band4(201-300)"
"64","Deutsche Bank Ag","309","MNE_Band5(301+)"
"65","Deutsche Lufthansa Ag","302","MNE_Band5(301+)"
"66","Deutsche Post Ag","535","MNE_Band5(301+)"
"67","Deutsche Telekom Ag","503","MNE_Band5(301+)"
"68","E.On Se","216","MNE_Band4(201-300)"
"69","Eaton Corporation Public Limited Company","188","MNE_Band3(101-200)"
"70","Edizione Srl","52","MNE_Band2(51-100)"
"71","Eiffage","145","MNE_Band3(101-200)"
"72","El Corte Ingles Sa","124","MNE_Band3(101-200)"
"73","Elior Group","121","MNE_Band3(101-200)"
"74","Enel Spa","194","MNE_Band3(101-200)"
"75","Engie","237","MNE_Band4(201-300)"
"76","Essilorluxottica","135","MNE_Band3(101-200)"
"77","Faurecia","223","MNE_Band4(201-300)"
"78","Ferrovial Sa","217","MNE_Band4(201-300)"
"79","Fiat Chrysler Automobiles N.V.","240","MNE_Band4(201-300)"
"80","Firstgroup Plc","168","MNE_Band3(101-200)"
"81","Fresenius Medical Care Ag & Co. Kgaa","168","MNE_Band3(101-200)"
"82","Fresenius Se & Co. Kgaa","238","MNE_Band4(201-300)"
"83","Freudenberg & Co. Kg","93","MNE_Band2(51-100)"
"84","G4S Plc","383","MNE_Band5(301+)"
"85","Glaxosmithkline Plc","269","MNE_Band4(201-300)"
"86","Glencore Plc","222","MNE_Band4(201-300)"
"87","Groupe Bruxelles Lambert","132","MNE_Band3(101-200)"
"88","Groupe Crit","63","MNE_Band2(51-100)"
"89","Hb Collector Sarl","29","MNE_Band1(0-50)"
"90","Heidelbergcement Ag","193","MNE_Band3(101-200)"
"91","Henkel Ag & Co. Kgaa","218","MNE_Band4(201-300)"
"92","Holding Reinier","25","MNE_Band1(0-50)"
"93","Hsbc Holdings Plc","802","MNE_Band5(301+)"
"94","Ibm International C.V.","88","MNE_Band2(51-100)"
"95","Ina-Holding Schaeffler Gmbh & Co. Kg","175","MNE_Band3(101-200)"
"96","Ing Groep N.V.","209","MNE_Band4(201-300)"
"97","Ingersoll-Rand Public Limited Company","108","MNE_Band3(101-200)"
"98","Intercontinental Hotels Group Plc","165","MNE_Band3(101-200)"
"99","International Consolidated Airlines Group Sa","187","MNE_Band3(101-200)"
"100","Intesa Sanpaolo Spa","239","MNE_Band4(201-300)"
"101","Iss A/S","427","MNE_Band5(301+)"
"102","J Sainsbury Plc","500","MNE_Band5(301+)"
"103","John Swire & Sons Limited","101","MNE_Band3(101-200)"
"104","John Wood Group Plc","124","MNE_Band3(101-200)"
"105","Johnson Controls International Public Limited Company","359","MNE_Band5(301+)"
"106","Kingfisher Plc","161","MNE_Band3(101-200)"
"107","Kone Oyj","174","MNE_Band3(101-200)"
"108","Koninklijke Ahold Delhaize N.V.","184","MNE_Band3(101-200)"
"109","Koninklijke Philips N.V.","271","MNE_Band4(201-300)"
"110","L'Air Liquide Societe Anonyme Pour L'Etude Et L'Exploitation Des Procedes Georges Claude","161","MNE_Band3(101-200)"
"111","L'Arche Green N.V.","29","MNE_Band1(0-50)"
"112","L'Oreal","257","MNE_Band4(201-300)"
"113","Lafargeholcim Ltd","182","MNE_Band3(101-200)"
"114","Leoni Ag","127","MNE_Band3(101-200)"
"115","Lidl Stiftung & Co. Kg","264","MNE_Band4(201-300)"
"116","Linde Public Limited Company","314","MNE_Band5(301+)"
"117","Lloyds Banking Group Plc","224","MNE_Band4(201-300)"
"118","Lvmh Moet Hennessy Louis Vuitton","270","MNE_Band4(201-300)"
"119","Marks And Spencer P.L.C.","158","MNE_Band3(101-200)"
"120","Medtronic Public Limited Company","181","MNE_Band3(101-200)"
"121","Melrose Industries Plc","114","MNE_Band3(101-200)"
"122","Merck Kg Auf Aktien","199","MNE_Band3(101-200)"
"123","Metro Ag","194","MNE_Band3(101-200)"
"124","Migros-Genossenschafts-Bund","140","MNE_Band3(101-200)"
"125","Nestle S.A.","297","MNE_Band4(201-300)"
"126","Nielsen Holdings Plc","142","MNE_Band3(101-200)"
"127","Nokia Oyj","329","MNE_Band5(301+)"
"128","Norton Rose Fulbright Llp","46","MNE_Band1(0-50)"
"129","Novartis Ag","265","MNE_Band4(201-300)"
"130","O.C.S. Group Limited","29","MNE_Band1(0-50)"
"131","Om Residual Uk Limited","90","MNE_Band2(51-100)"
"132","Orange","302","MNE_Band5(301+)"
"133","Peugeot Sa","248","MNE_Band4(201-300)"
"134","Pontegadea Inversiones Sl","39","MNE_Band1(0-50)"
"135","Ppf Group N.V.","132","MNE_Band3(101-200)"
"136","Publicis Groupe S.A.","190","MNE_Band3(101-200)"
"137","Ramsbury Invest Ab","33","MNE_Band1(0-50)"
"138","Randstad Holding Luxembourg","222","MNE_Band4(201-300)"
"139","Randstad N.V.","117","MNE_Band3(101-200)"
"140","Renault","400","MNE_Band5(301+)"
"141","Rethmann Se & Co. Kg","29","MNE_Band1(0-50)"
"142","Rewe-Zentralfinanz Eg","252","MNE_Band4(201-300)"
"143","Robert Bosch Stiftung GmbH","114","MNE_Band3(101-200)"
"144","Roche Holding Ag","198","MNE_Band3(101-200)"
"145","Rolls-Royce Holdings Plc","242","MNE_Band4(201-300)"
"146","Royal Dutch Shell Plc","302","MNE_Band5(301+)"
"147","Rwe Ag","245","MNE_Band4(201-300)"
"148","Safran","201","MNE_Band4(201-300)"
"149","Salini Impregilo Spa","135","MNE_Band3(101-200)"
"150","Sanofi","298","MNE_Band4(201-300)"
"151","Sap Se","270","MNE_Band4(201-300)"
"152","Sas Rue La Boetie","25","MNE_Band1(0-50)"
"153","Schneider Electric Se","276","MNE_Band4(201-300)"
"154","Securitas Ab","236","MNE_Band4(201-300)"
"155","Serco Group Plc","136","MNE_Band3(101-200)"
"156","Siemens Ag","619","MNE_Band5(301+)"
"157","Sociedade Francisco Manuel Dos Santos, Sgps, S.E.","32","MNE_Band1(0-50)"
"158","Societe Generale","384","MNE_Band5(301+)"
"159","Sodexo","222","MNE_Band4(201-300)"
"160","Standard Chartered Plc","240","MNE_Band4(201-300)"
"161","Stichting Ingka Foundation","46","MNE_Band1(0-50)"
"162","Strabag Se","176","MNE_Band3(101-200)"
"163","Suez","152","MNE_Band3(101-200)"
"164","Te Connectivity Ltd.","192","MNE_Band3(101-200)"
"165","Telecom Italia Spa O Tim Spa","222","MNE_Band4(201-300)"
"166","Telefon Ab Lm Ericsson","248","MNE_Band4(201-300)"
"167","Telefonica, Sa","324","MNE_Band5(301+)"
"168","Teleperformance Se","225","MNE_Band4(201-300)"
"169","Tengelmann Warenhandelsgesellschaft Kg","104","MNE_Band3(101-200)"
"170","Tesco Plc","581","MNE_Band5(301+)"
"171","Thales","244","MNE_Band4(201-300)"
"172","Thyssenkrupp Ag","565","MNE_Band5(301+)"
"173","Total Sa","307","MNE_Band5(301+)"
"174","Tui Ag","222","MNE_Band4(201-300)"
"175","Unicredit Spa","291","MNE_Band4(201-300)"
"176","Unilever N.V.","361","MNE_Band5(301+)"
"177","Unilever Plc","705","MNE_Band5(301+)"
"178","Valeo","213","MNE_Band4(201-300)"
"179","Veolia Environnement","276","MNE_Band4(201-300)"
"180","Vinci","360","MNE_Band5(301+)"
"181","Vodafone Group Public Limited Company","309","MNE_Band5(301+)"
"182","Voestalpine Ag","151","MNE_Band3(101-200)"
"183","Volkswagen Ag","400","MNE_Band5(301+)"
"184","Wendel","176","MNE_Band3(101-200)"
"185","Wittington Investments Limited","70","MNE_Band2(51-100)"
"186","Wm Morrison Supermarkets P L C","167","MNE_Band3(101-200)"
"187","Wpp Plc","350","MNE_Band5(301+)"
"188","Zurich Insurance Group Ag","192","MNE_Band3(101-200)"
