"","id","av","avb"
"1","A.P. Moller","0","MNE_Band1(0-50)"
"2","Ab Electrolux","212","MNE_Band4(201-300)"
"3","Ab Volvo","247","MNE_Band4(201-300)"
"4","Abb Ltd","231","MNE_Band4(201-300)"
"5","Acanthe","52","MNE_Band2(51-100)"
"6","Accenture Public Limited Company","248","MNE_Band4(201-300)"
"7","Accor","236","MNE_Band4(201-300)"
"8","Acs, Actividades De Construccion Y Servicios, Sa","237","MNE_Band4(201-300)"
"9","Adecco Group Ag","159","MNE_Band3(101-200)"
"10","Adidas Ag","262","MNE_Band4(201-300)"
"11","Adient Public Limited Company","228","MNE_Band4(201-300)"
"12","Adolf Wurth Gmbh & Co. Kg","108","MNE_Band3(101-200)"
"13","Air France - Klm","234","MNE_Band4(201-300)"
"14","Airbus Se","272","MNE_Band4(201-300)"
"15","Allianz Se","571","MNE_Band5(301+)"
"16","Anglo American Plc","189","MNE_Band3(101-200)"
"17","Anheuser-Busch Inbev","170","MNE_Band3(101-200)"
"18","Aon Plc","428","MNE_Band5(301+)"
"19","Aptiv Plc","380","MNE_Band5(301+)"
"20","Arcandor Ag","117","MNE_Band3(101-200)"
"21","Arcelormittal","277","MNE_Band4(201-300)"
"22","Assicurazioni Generali Spa","258","MNE_Band4(201-300)"
"23","Associated British Foods Plc","149","MNE_Band3(101-200)"
"24","Astrazeneca Plc","205","MNE_Band4(201-300)"
"25","Atos Se","244","MNE_Band4(201-300)"
"26","Aveco Holding Ag","94","MNE_Band2(51-100)"
"27","Axa","223","MNE_Band4(201-300)"
"28","Bae Systems Plc","195","MNE_Band3(101-200)"
"29","Banco Bilbao Vizcaya Argentaria Sociedad Anonima","257","MNE_Band4(201-300)"
"30","Banco Santander Sa","278","MNE_Band4(201-300)"
"31","Barclays Plc","231","MNE_Band4(201-300)"
"32","Basf Se","237","MNE_Band4(201-300)"
"33","Bayer Ag","297","MNE_Band4(201-300)"
"34","Bayerische Motoren Werke Ag","311","MNE_Band5(301+)"
"35","Bnp Paribas","286","MNE_Band4(201-300)"
"36","Bouygues","201","MNE_Band4(201-300)"
"37","Bp P.L.C.","297","MNE_Band4(201-300)"
"38","British American Tobacco P.L.C.","178","MNE_Band3(101-200)"
"39","British United Provident Association Limited(The)","84","MNE_Band2(51-100)"
"40","Bt Group Plc","252","MNE_Band4(201-300)"
"41","Bureau Veritas","160","MNE_Band3(101-200)"
"42","C.H. Boehringer Sohn Ag & Co. Kg","127","MNE_Band3(101-200)"
"43","Caisse Des Depots Et Consignations","177","MNE_Band3(101-200)"
"44","Camellia Public Limited Company","78","MNE_Band2(51-100)"
