,Old Value,New Value [If -BLANK- then not used],New Value [If -BLANK- then NA]
1,founded by,Founders1,Founders1
2,owned by,OwnedBy,OwnedBy
3,logo image,LogoURL,LogoURL
4,headquarters location,Location1,Location1
5,chief executive officer,KeyPerson,KeyPerson
6,country,Country1,Country1
7,image,Image,Image
8,business division,BusinessDivision,BusinessDivision
9,ISNI,ISNI,ISNI
10,VIAF ID,VIAF,VIAF
11,GND ID,GND,GND
12,Library of Congress authority ID,LibCongAuth,LibCongAuth
13,instance of,Industry1,Industry1
14,director / manager,Director1,Director1
15,product or material produced,Industry2,Industry2
16,employees,Employees,Employees
17,topic's main Wikimedia portal,,NA
18,Legal Entity Identifier,LEI,LEI
19,Encyclopædia Britannica Online ID,Brittanica,Brittanica
20,legal form,Type1,Type1
21,owner of,OwnerOf,OwnerOf
22,different from,,NA
23,total revenue,TotalRevenue,TotalRevenue
24,Museum of Modern Art artist ID,,NA
25,market capitalization,MarketCap,MarketCap
26,net profit,NetProfit,NetProfit
27,total assets,TotalAssets,TotalAssets
28,GRID ID,GRID,GRID
29,ISO 9362 SWIFT/BIC code,BIC,BIC
30,EU Transparency Register ID,EUTranspReg,EUTranspReg
31,Bibliothèque nationale de France ID,BiblNatFranc,BiblNatFranc
32,IdRef ID,IDREF,IDREF
33,ISBN publisher prefix,ISBN,ISBN
34,NE.se ID,,NA
35,board member,KeyPeople,KeyPeople
36,PermID,PermID,PermID
37,operating income,OperatingIncome1,OperatingIncome1
38,LittleSis organization ID,LittleSis,LittleSis
39,Quora topic ID,QuoraTopic,QuoraTopic
40,Ringgold ID,RingGold,RingGold
41,subsidiary,Subsidiary,Subsidiary
42,part of,StockMarketIndex,StockMarketIndex
43,Commons category,CommonsCat,CommonsCat
44,ITU/ISO/IEC object identifier,,NA
45,IPv4 routing prefix,IPv4Prefix,IPv4Prefix
46,IPv6 routing prefix,IPv6Prefix,IPv6Prefix
47,stock exchange,StockExchange,StockExchange
48,PM20 folder ID,PM20,PM20
49,Store norske leksikon ID,,NA
50,industry,Industry3,Industry3
51,UK Parliament thesaurus ID,UKParlThes,UKParlThes
52,member of,Affiliation,Affiliation
