,Old Value,New Value [If -BLANK- then not used],New Value [If -BLANK- then NA]
176,http://www.w3.org/2003/01/geo/wgs84_pos#geometry.datatype,,NA
177,http://dbpedia.org/ontology/equity.type,,NA
178,http://dbpedia.org/ontology/equity.value,Equity1,Equity1
179,http://dbpedia.org/ontology/equity.datatype,,NA
180,http://www.georss.org/georss/point.type,,NA
181,http://www.georss.org/georss/point.value,,NA
182,http://dbpedia.org/property/tradingName.type,,NA
183,http://dbpedia.org/property/tradingName.value,TradingName,TradingName
184,http://dbpedia.org/property/tradingName.datatype,,NA
185,http://dbpedia.org/property/imageCaption.type,,NA
186,http://dbpedia.org/property/imageCaption.value,,NA
187,http://dbpedia.org/property/imageCaption.datatype,,NA
188,http://dbpedia.org/property/managedBy.type,,NA
189,http://dbpedia.org/property/managedBy.value,ManagedBy,ManagedBy
190,http://dbpedia.org/property/tradedAs.type,,NA
191,http://dbpedia.org/property/tradedAs.value,,NA
192,http://dbpedia.org/property/tradedAs.datatype,,NA
193,http://dbpedia.org/property/services.type,,NA
194,http://dbpedia.org/property/services.value,Services2,Services2
195,http://dbpedia.org/property/services.datatype,,NA
196,http://dbpedia.org/ontology/league.type,,NA
197,http://dbpedia.org/ontology/league.value,,NA
198,http://dbpedia.org/ontology/board.type,,NA
199,http://dbpedia.org/ontology/board.value,,NA
200,http://dbpedia.org/property/operator.type,,NA
201,http://dbpedia.org/property/operator.value,,NA
202,http://dbpedia.org/property/secCik.type,,NA
203,http://dbpedia.org/property/secCik.value,,NA
204,http://dbpedia.org/property/secCik.datatype,,NA
205,http://dbpedia.org/property/hoovers.type,,NA
206,http://dbpedia.org/property/hoovers.value,,NA
207,http://dbpedia.org/property/hoovers.datatype,,NA
208,http://dbpedia.org/property/symbol.type,,NA
209,http://dbpedia.org/property/symbol.value,Symbol,Symbol
210,http://dbpedia.org/property/symbol.datatype,,NA
211,http://dbpedia.org/property/name.type,,NA
212,http://dbpedia.org/property/name.value,,NA
213,http://dbpedia.org/property/name.datatype,,NA
214,http://dbpedia.org/ontology/predecessor.type,,NA
215,http://dbpedia.org/ontology/predecessor.value,Predecessor1,Predecessor1
216,http://dbpedia.org/property/workplaces.type,,NA
217,http://dbpedia.org/property/workplaces.value,,NA
218,http://dbpedia.org/ontology/developer.type,,NA
219,http://dbpedia.org/ontology/developer.value,,NA
220,http://dbpedia.org/property/keyPartners.type,,NA
221,http://dbpedia.org/property/keyPartners.value,,NA
222,http://dbpedia.org/property/title.type,,NA
223,http://dbpedia.org/property/title.value,,NA
224,http://dbpedia.org/ontology/tenant.type,,NA
225,http://dbpedia.org/ontology/tenant.value,,NA
226,http://dbpedia.org/property/sponsor.type,,NA
227,http://dbpedia.org/property/sponsor.value,,NA
228,http://dbpedia.org/property/founded.type,,NA
229,http://dbpedia.org/property/founded.value,,NA
230,http://dbpedia.org/property/founded.datatype,,NA
231,http://dbpedia.org/property/hqLocation.type,,NA
232,http://dbpedia.org/property/hqLocation.value,,NA
233,http://dbpedia.org/property/type.type,,NA
234,http://dbpedia.org/property/type.value,Type2,Type2
235,http://dbpedia.org/property/type.datatype,,NA
236,http://dbpedia.org/property/developer.type,,NA
237,http://dbpedia.org/property/developer.value,,NA
238,http://dbpedia.org/ontology/author.type,,NA
239,http://dbpedia.org/ontology/author.value,,NA
240,http://dbpedia.org/property/parent.type,,NA
241,http://dbpedia.org/property/parent.value,,NA
242,http://dbpedia.org/property/sponsors.type,,NA
243,http://dbpedia.org/property/sponsors.value,,NA
244,http://dbpedia.org/ontology/foundationPlace.type,,NA
245,http://dbpedia.org/ontology/foundationPlace.value,FoundationPlace,FoundationPlace
246,http://dbpedia.org/ontology/numberOfLocations.type,,NA
247,http://dbpedia.org/ontology/numberOfLocations.value,NoOfLocations1,NoOfLocations1
248,http://dbpedia.org/ontology/numberOfLocations.datatype,,NA
249,http://dbpedia.org/property/carrier.type,,NA
250,http://dbpedia.org/property/carrier.value,,NA
251,http://dbpedia.org/property/psUnitsManuModel.type,,NA
252,http://dbpedia.org/property/psUnitsManuModel.value,,NA
253,http://dbpedia.org/ontology/designer.type,,NA
254,http://dbpedia.org/ontology/designer.value,,NA
255,http://dbpedia.org/ontology/builder.type,,NA
256,http://dbpedia.org/ontology/builder.value,,NA
257,http://dbpedia.org/property/substationInstaller.type,,NA
258,http://dbpedia.org/property/substationInstaller.value,,NA
259,http://dbpedia.org/property/substationManufacturer.type,,NA
260,http://dbpedia.org/property/substationManufacturer.value,,NA
261,http://dbpedia.org/property/customValue.type,,NA
262,http://dbpedia.org/property/customValue.value,,NA
263,http://dbpedia.org/property/npReactorSupplier.type,,NA
264,http://dbpedia.org/property/npReactorSupplier.value,,NA
265,http://dbpedia.org/ontology/railwayRollingStock.type,,NA
266,http://dbpedia.org/ontology/railwayRollingStock.value,,NA
267,http://www.w3.org/2002/07/owl#differentFrom.type,,NA
268,http://www.w3.org/2002/07/owl#differentFrom.value,,NA
269,http://dbpedia.org/property/original.type,,NA
270,http://dbpedia.org/property/original.value,,NA
271,http://dbpedia.org/property/hersteller.type,,NA
272,http://dbpedia.org/property/hersteller.value,,NA
273,http://dbpedia.org/property/contractors.type,,NA
274,http://dbpedia.org/property/contractors.value,,NA
275,http://dbpedia.org/property/slogan.type,,NA
276,http://dbpedia.org/property/slogan.value,,NA
277,http://dbpedia.org/property/slogan.datatype,,NA
278,http://dbpedia.org/property/divisions.type,,NA
279,http://dbpedia.org/property/divisions.value,,NA
280,http://dbpedia.org/property/divisions.datatype,,NA
281,http://dbpedia.org/ontology/regionServed.type,,NA
282,http://dbpedia.org/ontology/regionServed.value,RegionServed,RegionServed
283,http://dbpedia.org/ontology/foundingDate.type,,NA
284,http://dbpedia.org/ontology/foundingDate.value,FoundingDate,FoundingDate
285,http://dbpedia.org/ontology/foundingDate.datatype,,NA
286,http://dbpedia.org/property/subsid.type,,NA
287,http://dbpedia.org/property/subsid.value,,NA
288,http://dbpedia.org/property/subsid.datatype,,NA
289,http://dbpedia.org/property/trademarkregistrations.type,,NA
290,http://dbpedia.org/property/trademarkregistrations.value,,NA
291,http://dbpedia.org/property/currentowner.type,,NA
292,http://dbpedia.org/property/currentowner.value,,NA
293,http://dbpedia.org/ontology/division.type,,NA
294,http://dbpedia.org/ontology/division.value,,NA
295,http://dbpedia.org/property/previousowners.type,,NA
296,http://dbpedia.org/property/previousowners.value,,NA
297,http://dbpedia.org/ontology/creatorOfDish.type,,NA
298,http://dbpedia.org/ontology/creatorOfDish.value,,NA
299,http://dbpedia.org/property/owners.type,,NA
300,http://dbpedia.org/property/owners.value,,NA
301,http://dbpedia.org/property/keyPeople.type,,NA
302,http://dbpedia.org/property/keyPeople.value,KeyPeople,KeyPeople
303,http://dbpedia.org/property/keyPeople.datatype,,NA
304,http://dbpedia.org/property/founder.type,,NA
305,http://dbpedia.org/property/founder.value,,NA
306,http://dbpedia.org/property/founder.datatype,,NA
307,http://dbpedia.org/property/locationCity.type,,NA
308,http://dbpedia.org/property/locationCity.value,,NA
309,http://dbpedia.org/property/locationCity.datatype,,NA
310,http://dbpedia.org/property/imageSize.type,,NA
311,http://dbpedia.org/property/imageSize.value,,NA
312,http://dbpedia.org/property/imageSize.datatype,,NA
313,http://dbpedia.org/property/netProfit.type,,NA
314,http://dbpedia.org/property/netProfit.value,NetProfit,NetProfit
315,http://dbpedia.org/property/netProfit.datatype,NetProfitCurrency,NetProfitCurrency
316,http://dbpedia.org/property/ebit.type,,NA
317,http://dbpedia.org/property/ebit.value,EBIT,EBIT
318,http://dbpedia.org/property/ebit.datatype,EBITCurrency,EBITCurrency
319,http://dbpedia.org/property/totalAssets.type,,NA
320,http://dbpedia.org/property/totalAssets.value,TotalAssets,TotalAssets
321,http://dbpedia.org/property/totalAssets.datatype,TotalAssetsCurrency,TotalAssetsCurrency
322,http://dbpedia.org/property/affiliation.type,,NA
323,http://dbpedia.org/property/affiliation.value,,NA
324,http://dbpedia.org/property/management.type,,NA
325,http://dbpedia.org/property/management.value,,NA
326,http://dbpedia.org/property/free.type,,NA
327,http://dbpedia.org/property/free.value,,NA
328,http://dbpedia.org/property/mostWins.type,,NA
329,http://dbpedia.org/property/mostWins.value,,NA
330,http://dbpedia.org/property/caption.type,,NA
331,http://dbpedia.org/property/caption.value,,NA
332,http://dbpedia.org/property/caption.datatype,,NA
333,http://dbpedia.org/property/align.type,,NA
334,http://dbpedia.org/property/align.value,,NA
335,http://dbpedia.org/property/align.datatype,,NA
336,http://dbpedia.org/property/image.type,,NA
337,http://dbpedia.org/property/image.value,,NA
338,http://dbpedia.org/property/image.datatype,,NA
339,http://dbpedia.org/property/ratio.type,,NA
340,http://dbpedia.org/property/ratio.value,,NA
341,http://dbpedia.org/property/ratio.datatype,,NA
342,http://dbpedia.org/property/width.type,,NA
343,http://dbpedia.org/property/width.value,,NA
344,http://dbpedia.org/property/width.datatype,,NA
345,http://dbpedia.org/property/direction.type,,NA
346,http://dbpedia.org/property/direction.value,,NA
347,http://dbpedia.org/property/direction.datatype,,NA
348,http://dbpedia.org/property/companySlogan.type,,NA
349,http://dbpedia.org/property/companySlogan.value,Slogan1,Slogan1
350,http://dbpedia.org/property/companySlogan.datatype,,NA
351,http://dbpedia.org/property/adslServ.type,,NA
352,http://dbpedia.org/property/adslServ.value,,NA
353,http://dbpedia.org/ontology/parentOrganisation.type,,NA
354,http://dbpedia.org/ontology/parentOrganisation.value,,NA
355,http://dbpedia.org/property/langcode.type,,NA
356,http://dbpedia.org/property/langcode.value,,NA
357,http://dbpedia.org/property/langcode.datatype,,NA
358,http://dbpedia.org/property/locationCountry.type,,NA
359,http://dbpedia.org/property/locationCountry.value,Country2,Country2
360,http://dbpedia.org/property/locationCountry.datatype,,NA
361,http://dbpedia.org/property/logoSize.type,,NA
362,http://dbpedia.org/property/logoSize.value,,NA
363,http://dbpedia.org/property/logoSize.datatype,,NA
364,http://dbpedia.org/property/profit.type,,NA
365,http://dbpedia.org/property/profit.value,Profit,Profit
366,http://dbpedia.org/property/profit.datatype,ProfitCurrency,ProfitCurrency
367,http://dbpedia.org/property/industry.type,,NA
368,http://dbpedia.org/property/industry.value,Industry2,Industry2
369,http://dbpedia.org/property/industry.datatype,,NA
370,http://dbpedia.org/ontology/firstDriverTeam.type,,NA
371,http://dbpedia.org/ontology/firstDriverTeam.value,,NA
372,http://dbpedia.org/ontology/designCompany.type,,NA
373,http://dbpedia.org/ontology/designCompany.value,,NA
374,http://dbpedia.org/ontology/thirdTeam.type,,NA
375,http://dbpedia.org/ontology/thirdTeam.value,,NA
376,http://dbpedia.org/ontology/distributor.type,,NA
377,http://dbpedia.org/ontology/distributor.value,,NA
378,http://dbpedia.org/property/constructor.type,,NA
379,http://dbpedia.org/property/constructor.value,,NA
380,http://dbpedia.org/property/team.type,,NA
381,http://dbpedia.org/property/team.value,,NA
382,http://dbpedia.org/property/products.type,,NA
383,http://dbpedia.org/property/products.value,,NA
384,http://dbpedia.org/property/products.datatype,,NA
385,http://dbpedia.org/property/sp.type,,NA
386,http://dbpedia.org/property/sp.value,,NA
387,http://dbpedia.org/ontology/engineer.type,,NA
388,http://dbpedia.org/ontology/engineer.value,,NA
389,http://dbpedia.org/ontology/operator.type,,NA
390,http://dbpedia.org/ontology/operator.value,,NA
391,http://dbpedia.org/property/netIncome.type,,NA
392,http://dbpedia.org/property/netIncome.value,NetIncomeUnit,NetIncomeUnit
393,http://dbpedia.org/property/netIncome.datatype,,NA
394,http://dbpedia.org/property/mainContractors.type,,NA
395,http://dbpedia.org/property/mainContractors.value,,NA
396,http://dbpedia.org/property/mainContractor.type,,NA
397,http://dbpedia.org/property/mainContractor.value,,NA
398,http://dbpedia.org/property/recordTeam.type,,NA
399,http://dbpedia.org/property/recordTeam.value,,NA
400,http://dbpedia.org/property/workInstitution.type,,NA
401,http://dbpedia.org/property/workInstitution.value,,NA
402,http://dbpedia.org/ontology/secondTeam.type,,NA
403,http://dbpedia.org/ontology/secondTeam.value,,NA
404,http://dbpedia.org/property/equityYear.type,,NA
405,http://dbpedia.org/property/equityYear.value,EquityYear,EquityYear
406,http://dbpedia.org/property/equityYear.datatype,,NA
407,http://dbpedia.org/property/slogans.type,,NA
408,http://dbpedia.org/property/slogans.value,Slogan2,Slogan2
409,http://dbpedia.org/property/slogans.datatype,,NA
410,http://dbpedia.org/property/netIncomeYear.type,,NA
411,http://dbpedia.org/property/netIncomeYear.value,NetIncomeYear,NetIncomeYear
412,http://dbpedia.org/property/netIncomeYear.datatype,,NA
413,http://dbpedia.org/property/manufacturers.type,,NA
414,http://dbpedia.org/property/manufacturers.value,,NA
415,http://dbpedia.org/property/advertiser.type,,NA
416,http://dbpedia.org/property/advertiser.value,,NA
417,http://dbpedia.org/property/eng1Type.type,,NA
418,http://dbpedia.org/property/eng1Type.value,,NA
419,http://dbpedia.org/property/south.type,,NA
420,http://dbpedia.org/property/south.value,,NA
421,http://dbpedia.org/property/east.type,,NA
422,http://dbpedia.org/property/east.value,,NA
423,http://dbpedia.org/property/alt.type,,NA
424,http://dbpedia.org/property/alt.value,,NA
425,http://dbpedia.org/property/alt.datatype,,NA
426,http://dbpedia.org/property/owner.datatype,,NA
427,http://dbpedia.org/property/brewery.type,,NA
428,http://dbpedia.org/property/brewery.value,,NA
429,http://dbpedia.org/property/location.type,,NA
430,http://dbpedia.org/property/location.value,Location2,Location2
431,http://dbpedia.org/property/location.datatype,,NA
432,http://dbpedia.org/property/domesticSuppliers.type,,NA
433,http://dbpedia.org/property/domesticSuppliers.value,,NA
434,http://dbpedia.org/property/foreignSuppliers.type,,NA
435,http://dbpedia.org/property/foreignSuppliers.value,,NA
436,http://dbpedia.org/ontology/powerType.type,,NA
437,http://dbpedia.org/ontology/powerType.value,,NA
438,http://dbpedia.org/property/operatingIncome.type,,NA
439,http://dbpedia.org/property/operatingIncome.value,OperatingIncome2,OperatingIncome2
440,http://dbpedia.org/property/operatingIncome.datatype,,NA
441,http://dbpedia.org/ontology/company.type,,NA
442,http://dbpedia.org/ontology/company.value,,NA
443,http://dbpedia.org/ontology/creator.type,,NA
444,http://dbpedia.org/ontology/creator.value,,NA
445,http://dbpedia.org/ontology/relation.type,,NA
446,http://dbpedia.org/ontology/relation.value,,NA
447,http://dbpedia.org/property/currentSupplier.type,,NA
448,http://dbpedia.org/property/currentSupplier.value,,NA
449,http://dbpedia.org/property/accessdate.type,,NA
450,http://dbpedia.org/property/accessdate.value,,NA
451,http://dbpedia.org/property/accessdate.datatype,,NA
452,http://dbpedia.org/property/publisher.type,,NA
453,http://dbpedia.org/property/publisher.value,,NA
454,http://dbpedia.org/property/publisher.datatype,,NA
455,http://dbpedia.org/property/title.datatype,,NA
456,http://dbpedia.org/property/founders.type,,NA
457,http://dbpedia.org/property/founders.value,Founders2,Founders2
458,http://dbpedia.org/property/founders.datatype,,NA
459,http://dbpedia.org/property/company.type,,NA
460,http://dbpedia.org/property/company.value,,NA
461,http://dbpedia.org/property/for.type,,NA
462,http://dbpedia.org/property/for.value,,NA
463,http://dbpedia.org/property/for.datatype,,NA
464,http://dbpedia.org/property/iptvServ.type,,NA
465,http://dbpedia.org/property/iptvServ.value,,NA
466,http://dbpedia.org/property/cableServ.type,,NA
467,http://dbpedia.org/property/cableServ.value,,NA
468,http://dbpedia.org/property/brand.type,,NA
469,http://dbpedia.org/property/brand.value,,NA
470,http://dbpedia.org/property/rev.type,,NA
471,http://dbpedia.org/property/rev.value,,NA
472,http://dbpedia.org/property/workInstitutions.type,,NA
473,http://dbpedia.org/property/workInstitutions.value,,NA
474,http://dbpedia.org/ontology/fuelSystem.type,,NA
475,http://dbpedia.org/ontology/fuelSystem.value,,NA
476,http://dbpedia.org/property/footnotes.type,,NA
477,http://dbpedia.org/property/footnotes.value,,NA
478,http://dbpedia.org/property/footnotes.datatype,,NA
479,http://dbpedia.org/ontology/significantProject.type,,NA
480,http://dbpedia.org/ontology/significantProject.value,,NA
481,http://dbpedia.org/property/cableManufacturer.type,,NA
482,http://dbpedia.org/property/cableManufacturer.value,,NA
483,http://dbpedia.org/property/alternator.type,,NA
484,http://dbpedia.org/property/alternator.value,,NA
485,http://dbpedia.org/property/tractionmotors.type,,NA
486,http://dbpedia.org/property/tractionmotors.value,,NA
487,http://dbpedia.org/property/shipPropulsion.type,,NA
488,http://dbpedia.org/property/shipPropulsion.value,,NA
489,http://dbpedia.org/property/cableInstaller.type,,NA
490,http://dbpedia.org/property/cableInstaller.value,,NA
491,http://dbpedia.org/property/holdingCompany.type,,NA
492,http://dbpedia.org/property/holdingCompany.value,,NA
493,http://dbpedia.org/property/designer.type,,NA
494,http://dbpedia.org/property/designer.value,,NA
495,http://dbpedia.org/ontology/architect.type,,NA
496,http://dbpedia.org/ontology/architect.value,,NA
497,http://dbpedia.org/property/marketCap.type,,NA
498,http://dbpedia.org/property/marketCap.value,MarketCap,MarketCap
499,http://dbpedia.org/property/marketCap.datatype,MarketCapCurrency,MarketCapCurrency
500,http://dbpedia.org/property/primaryUser.type,,NA
501,http://dbpedia.org/property/primaryUser.value,,NA
502,http://dbpedia.org/property/moreUsers.type,,NA
503,http://dbpedia.org/property/moreUsers.value,,NA
504,http://dbpedia.org/property/fullMembers.type,,NA
505,http://dbpedia.org/property/fullMembers.value,,NA
506,http://dbpedia.org/property/data.type,,NA
507,http://dbpedia.org/property/data.value,,NA
508,http://dbpedia.org/ontology/hubAirport.type,,NA
509,http://dbpedia.org/ontology/hubAirport.value,,NA
510,http://dbpedia.org/property/commenced.type,,NA
511,http://dbpedia.org/property/commenced.value,,NA
