,Old Value,New Value [If -BLANK- then not used],New Value [If -BLANK- then NA]
1,http://purl.org/linguistics/gold/hypernym.type,,NA
2,http://purl.org/linguistics/gold/hypernym.value,,NA
3,http://dbpedia.org/ontology/successor.type,,NA
4,http://dbpedia.org/ontology/successor.value,,NA
5,http://dbpedia.org/ontology/manufacturer.type,,NA
6,http://dbpedia.org/ontology/manufacturer.value,,NA
7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type.type,,NA
8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type.value,,NA
9,http://www.w3.org/2000/01/rdf-schema#label.type,,NA
10,http://www.w3.org/2000/01/rdf-schema#label.value,,NA
11,http://www.w3.org/2000/01/rdf-schema#label.lang,,NA
12,http://www.w3.org/2000/01/rdf-schema#comment.type,,NA
13,http://www.w3.org/2000/01/rdf-schema#comment.value,,NA
14,http://www.w3.org/2000/01/rdf-schema#comment.lang,,NA
15,http://www.w3.org/2000/01/rdf-schema#seeAlso.type,,NA
16,http://www.w3.org/2000/01/rdf-schema#seeAlso.value,,NA
17,http://www.w3.org/2002/07/owl#sameAs.type,,NA
18,http://www.w3.org/2002/07/owl#sameAs.value,,NA
19,http://purl.org/dc/terms/subject.type,,NA
20,http://purl.org/dc/terms/subject.value,,NA
21,http://xmlns.com/foaf/0.1/name.type,,NA
22,http://xmlns.com/foaf/0.1/name.value,Name,Name
23,http://xmlns.com/foaf/0.1/name.lang,,NA
24,http://xmlns.com/foaf/0.1/homepage.type,,NA
25,http://xmlns.com/foaf/0.1/homepage.value,URL1,URL1
26,http://xmlns.com/foaf/0.1/depiction.type,,NA
27,http://xmlns.com/foaf/0.1/depiction.value,LogoURL,LogoURL
28,http://xmlns.com/foaf/0.1/isPrimaryTopicOf.type,,NA
29,http://xmlns.com/foaf/0.1/isPrimaryTopicOf.value,WikipediaPrimaryTopic,WikipediaPrimaryTopic
30,http://dbpedia.org/ontology/foundedBy.type,,NA
31,http://dbpedia.org/ontology/foundedBy.value,Founders1,Founders1
32,http://dbpedia.org/ontology/industry.type,,NA
33,http://dbpedia.org/ontology/industry.value,Industry1,Industry1
34,http://dbpedia.org/ontology/assets.type,,NA
35,http://dbpedia.org/ontology/assets.value,Assets1,Assets1
36,http://dbpedia.org/ontology/assets.datatype,AssetsCurrency,AssetsCurrency
37,http://dbpedia.org/ontology/internationally.type,,NA
38,http://dbpedia.org/ontology/internationally.value,,NA
39,http://dbpedia.org/ontology/internationally.datatype,,NA
40,http://dbpedia.org/ontology/netIncome.type,,NA
41,http://dbpedia.org/ontology/netIncome.value,NetIncome,NetIncome
42,http://dbpedia.org/ontology/netIncome.datatype,NetIncomeCurrency,NetIncomeCurrency
43,http://dbpedia.org/ontology/numberOfEmployees.type,,NA
44,http://dbpedia.org/ontology/numberOfEmployees.value,Employees,Employees
45,http://dbpedia.org/ontology/numberOfEmployees.datatype,,NA
46,http://dbpedia.org/ontology/production.type,,NA
47,http://dbpedia.org/ontology/production.value,,NA
48,http://dbpedia.org/ontology/production.datatype,,NA
49,http://dbpedia.org/ontology/revenue.type,,NA
50,http://dbpedia.org/ontology/revenue.value,Revenue1,Revenue1
51,http://dbpedia.org/ontology/revenue.datatype,RevenueCurrency,RevenueCurrency
52,http://dbpedia.org/ontology/subsidiary.type,,NA
53,http://dbpedia.org/ontology/subsidiary.value,,NA
54,http://dbpedia.org/property/assetsYear.type,,NA
55,http://dbpedia.org/property/assetsYear.value,AssetsYear,AssetsYear
56,http://dbpedia.org/property/assetsYear.datatype,,NA
57,http://dbpedia.org/property/colwidth.type,,NA
58,http://dbpedia.org/property/colwidth.value,,NA
59,http://dbpedia.org/property/colwidth.datatype,,NA
60,http://dbpedia.org/property/group.type,,NA
61,http://dbpedia.org/property/group.value,,NA
62,http://dbpedia.org/property/group.datatype,,NA
63,http://dbpedia.org/property/incomeYear.type,,NA
64,http://dbpedia.org/property/incomeYear.value,IncomeYear,IncomeYear
65,http://dbpedia.org/property/incomeYear.datatype,,NA
66,http://dbpedia.org/property/numEmployeesYear.type,,NA
67,http://dbpedia.org/property/numEmployeesYear.value,EmployeesYear,EmployeesYear
68,http://dbpedia.org/property/numEmployeesYear.datatype,,NA
69,http://dbpedia.org/property/productionYear.type,,NA
70,http://dbpedia.org/property/productionYear.value,,NA
71,http://dbpedia.org/property/productionYear.datatype,,NA
72,http://dbpedia.org/property/reason.type,,NA
73,http://dbpedia.org/property/reason.value,,NA
74,http://dbpedia.org/property/reason.datatype,,NA
75,http://dbpedia.org/property/revenueYear.type,,NA
76,http://dbpedia.org/property/revenueYear.value,RevenueYear,RevenueYear
77,http://dbpedia.org/property/revenueYear.datatype,,NA
78,http://www.w3.org/ns/prov#wasDerivedFrom.type,,NA
79,http://www.w3.org/ns/prov#wasDerivedFrom.value,,NA
80,http://dbpedia.org/ontology/wikiPageExternalLink.type,,NA
81,http://dbpedia.org/ontology/wikiPageExternalLink.value,,NA
82,http://dbpedia.org/ontology/locationCity.type,,NA
83,http://dbpedia.org/ontology/locationCity.value,City1,City1
84,http://dbpedia.org/ontology/product.type,,NA
85,http://dbpedia.org/ontology/product.value,,NA
86,http://dbpedia.org/property/areaServed.type,,NA
87,http://dbpedia.org/property/areaServed.value,AreaServed,AreaServed
88,http://dbpedia.org/property/areaServed.datatype,,NA
89,http://dbpedia.org/ontology/abstract.type,,NA
90,http://dbpedia.org/ontology/abstract.value,,NA
91,http://dbpedia.org/ontology/abstract.lang,,NA
92,http://dbpedia.org/ontology/thumbnail.type,,NA
93,http://dbpedia.org/ontology/thumbnail.value,,NA
94,http://dbpedia.org/ontology/wikiPageRevisionID.type,,NA
95,http://dbpedia.org/ontology/wikiPageRevisionID.value,,NA
96,http://dbpedia.org/ontology/wikiPageRevisionID.datatype,,NA
97,http://dbpedia.org/ontology/wikiPageID.type,,NA
98,http://dbpedia.org/ontology/wikiPageID.value,,NA
99,http://dbpedia.org/ontology/wikiPageID.datatype,,NA
100,http://dbpedia.org/property/wordnet_type.type,,NA
101,http://dbpedia.org/property/wordnet_type.value,,NA
102,http://dbpedia.org/property/logo.type,,NA
103,http://dbpedia.org/property/logo.value,,NA
104,http://dbpedia.org/property/logo.datatype,,NA
105,http://dbpedia.org/ontology/locationCountry.type,,NA
106,http://dbpedia.org/ontology/locationCountry.value,Country1,Country1
107,http://dbpedia.org/property/date.type,,NA
108,http://dbpedia.org/property/date.value,,NA
109,http://dbpedia.org/property/date.datatype,,NA
110,http://dbpedia.org/ontology/keyPerson.type,,NA
111,http://dbpedia.org/ontology/keyPerson.value,KeyPerson,KeyPerson
112,http://dbpedia.org/ontology/parentCompany.type,,NA
113,http://dbpedia.org/ontology/parentCompany.value,ParentCompany,ParentCompany
114,http://dbpedia.org/ontology/type.type,,NA
115,http://dbpedia.org/ontology/type.value,Type1,Type1
116,http://dbpedia.org/ontology/knownFor.type,,NA
117,http://dbpedia.org/ontology/knownFor.value,,NA
118,http://dbpedia.org/ontology/wikiPageDisambiguates.type,,NA
119,http://dbpedia.org/ontology/wikiPageDisambiguates.value,,NA
120,http://dbpedia.org/property/client.type,,NA
121,http://dbpedia.org/property/client.value,,NA
122,http://dbpedia.org/ontology/employer.type,,NA
123,http://dbpedia.org/ontology/employer.value,,NA
124,http://dbpedia.org/ontology/team.type,,NA
125,http://dbpedia.org/ontology/team.value,,NA
126,http://dbpedia.org/property/constructors.type,,NA
127,http://dbpedia.org/property/constructors.value,,NA
128,http://dbpedia.org/property/engine.type,,NA
129,http://dbpedia.org/property/engine.value,,NA
130,http://dbpedia.org/property/engine(prop)_.type,,NA
131,http://dbpedia.org/property/engine(prop)_.value,,NA
132,http://dbpedia.org/property/engines.type,,NA
133,http://dbpedia.org/property/engines.value,,NA
134,http://dbpedia.org/property/manufacturer.type,,NA
135,http://dbpedia.org/property/manufacturer.value,,NA
136,http://dbpedia.org/property/parentCompany.type,,NA
137,http://dbpedia.org/property/parentCompany.value,,NA
138,http://dbpedia.org/property/teams.type,,NA
139,http://dbpedia.org/property/teams.value,,NA
140,http://dbpedia.org/property/text.type,,NA
141,http://dbpedia.org/property/text.value,,NA
142,http://dbpedia.org/ontology/wikiPageRedirects.type,,NA
143,http://dbpedia.org/ontology/wikiPageRedirects.value,,NA
144,http://xmlns.com/foaf/0.1/primaryTopic.type,,NA
145,http://xmlns.com/foaf/0.1/primaryTopic.value,,NA
146,http://dbpedia.org/ontology/assembly.type,,NA
147,http://dbpedia.org/ontology/assembly.value,,NA
148,http://dbpedia.org/ontology/owner.type,,NA
149,http://dbpedia.org/ontology/owner.value,,NA
150,http://dbpedia.org/ontology/occupation.type,,NA
151,http://dbpedia.org/ontology/occupation.value,,NA
152,http://dbpedia.org/property/similar.type,,NA
153,http://dbpedia.org/property/similar.value,,NA
154,http://dbpedia.org/ontology/operatingIncome.type,,NA
155,http://dbpedia.org/ontology/operatingIncome.value,OperatingIncome1,OperatingIncome1
156,http://dbpedia.org/ontology/operatingIncome.datatype,,NA
157,http://dbpedia.org/ontology/service.type,,NA
158,http://dbpedia.org/ontology/service.value,Services1,Services1
159,http://dbpedia.org/ontology/location.type,,NA
160,http://dbpedia.org/ontology/location.value,Location1,Location1
161,http://dbpedia.org/ontology/foundingYear.type,,NA
162,http://dbpedia.org/ontology/foundingYear.value,FoundingYear,FoundingYear
163,http://dbpedia.org/ontology/foundingYear.datatype,,NA
164,http://dbpedia.org/property/owner.type,,NA
165,http://dbpedia.org/property/owner.value,,NA
166,http://dbpedia.org/ontology/owningCompany.type,,NA
167,http://dbpedia.org/ontology/owningCompany.value,,NA
168,http://www.w3.org/2003/01/geo/wgs84_pos#lat.type,,NA
169,http://www.w3.org/2003/01/geo/wgs84_pos#lat.value,Latitude,Latitude
170,http://www.w3.org/2003/01/geo/wgs84_pos#lat.datatype,,NA
171,http://www.w3.org/2003/01/geo/wgs84_pos#long.type,,NA
172,http://www.w3.org/2003/01/geo/wgs84_pos#long.value,Longitude,Longitude
173,http://www.w3.org/2003/01/geo/wgs84_pos#long.datatype,,NA
174,http://www.w3.org/2003/01/geo/wgs84_pos#geometry.type,,NA
175,http://www.w3.org/2003/01/geo/wgs84_pos#geometry.value,,NA
